,证券代码,证券简称,"任职期限最长的现任基金经理
214,000513.OF,富国高端制造行业,毕天宇,300285.SZ,7.3873,002271.SZ,5.8931,002142.SZ,5.5195,600031.SH,5.4887,600519.SH,5.3843,603501.SH,4.87,601318.SH,3.7905,002555.SZ,3.7715,002001.SZ,3.2967,600309.SH,3.1141
215,000828.OF,泰达宏利转型机遇,王鹏,300014.SZ,9.1933,300750.SZ,5.8295,002475.SZ,5.3482,002624.SZ,4.2883,002174.SZ,4.2266,000661.SZ,3.7763,002271.SZ,3.772,600885.SH,3.2014,002714.SZ,3.0556,002157.SZ,3.019
216,007137.OF,鹏扬元合量化大盘优选A,JIANG SHAOKUN,600519.SH,5.1917,601688.SH,4.7749,600016.SH,4.6588,600498.SH,4.658,601818.SH,4.29,600900.SH,3.9947,600036.SH,3.7618,601601.SH,3.5822,601939.SH,3.5174,600999.SH,3.3177
217,001541.OF,汇添富民营新动力,谭志强,002624.SZ,7.2882,002044.SZ,6.8253,002555.SZ,6.6367,600036.SH,6.4829,300285.SZ,5.6312,000538.SZ,4.2536,601166.SH,3.7572,000961.SZ,3.6399,002466.SZ,3.4808,300144.SZ,3.3517
218,001043.OF,工银瑞信美丽城镇主题,王君正,000069.SZ,11.0079,002142.SZ,8.6094,600519.SH,5.4393,002244.SZ,4.6285,000002.SZ,4.2918,600036.SH,4.0606,300760.SZ,3.7084,600383.SH,3.6809,600276.SH,3.6587,600048.SH,3.4586
219,001663.OF,中银互联网+,欧阳力君,603659.SH,5.8233,000725.SZ,5.1526,300750.SZ,5.0586,600570.SH,4.9983,601138.SH,3.9415,300770.SZ,3.7042,601658.SH,3.7029,688023.SH,3.6809,002456.SZ,3.6284,002832.SZ,3.4739
222,001825.OF,建信中国制造2025,孙晟,601398.SH,8.0367,300253.SZ,7.5822,000403.SZ,7.2198,601111.SH,5.9332,601088.SH,4.7764,000002.SZ,3.8076,600201.SH,3.6732,600640.SH,3.3649,600019.SH,2.7965,600887.SH,2.6364
223,000326.OF,南方中小盘成长,吴剑毅,600068.SH,6.0744,600176.SH,5.9221,601838.SH,4.9799,002614.SZ,4.5299,601577.SH,4.1514,600511.SH,3.9534,002597.SZ,3.6426,000028.SZ,3.4675,000887.SZ,3.4154,002327.SZ,2.9745
224,006868.OF,华夏科技成长,张帆,002705.SZ,10.6586,300782.SZ,4.8974,300226.SZ,4.6497,000063.SZ,4.3582,002419.SZ,4.1308,300450.SZ,3.8485,002185.SZ,3.6076,002371.SZ,3.5589,002475.SZ,3.5403,002384.SZ,3.462
225,540006.OF,汇丰晋信大盘A,郭敏,601166.SH,8.4421,601601.SH,6.5161,600048.SH,4.5894,601336.SH,4.4246,000895.SZ,3.954,603882.SH,3.9017,002624.SZ,3.602,601012.SH,3.5424,000921.SZ,3.2479,601628.SH,3.119
226,001490.OF,汇添富国企创新增长,李威,600519.SH,10.284,002127.SZ,9.3039,000858.SZ,5.6362,000961.SZ,5.4422,601888.SH,4.8987,601166.SH,3.6041,000661.SZ,3.5923,600036.SH,3.5295,601318.SH,3.3669,002050.SZ,3.3014
227,000524.OF,上投摩根民生需求,杨景喻,603259.SH,6.0494,300014.SZ,4.2259,600519.SH,4.024,603501.SH,4.0026,000661.SZ,3.9451,300750.SZ,3.7962,603338.SH,3.589,002475.SZ,3.5801,300136.SZ,3.5097,002555.SZ,3.4915
228,001009.OF,上投摩根安全战略,陈思郁,000661.SZ,7.2659,002475.SZ,5.6745,600519.SH,5.0679,603338.SH,5.0443,300015.SZ,3.8677,002353.SZ,3.7579,002607.SZ,3.5588,600276.SH,3.5119,300601.SZ,3.5046,600031.SH,3.4895
229,001696.OF,南方智造未来,应帅,600519.SH,10.0417,600036.SH,6.698,603259.SH,4.4126,603730.SH,3.9104,002180.SZ,3.6671,600131.SH,3.5767,601600.SH,3.5491,600745.SH,3.3797,603232.SH,3.1289,300760.SZ,3.0394
230,002332.OF,汇丰晋信沪港深A,程,0700.HK,9.1492,002475.SZ,9.1352,3690.HK,6.9838,0522.HK,4.7845,0763.HK,4.1091,1299.HK,3.9902,2208.HK,3.5057,0939.HK,3.402,600519.SH,3.3437,0968.HK,2.5842
232,000793.OF,工银瑞信高端制造行业,黄安乐,300136.SZ,5.2464,600031.SH,4.8865,300759.SZ,4.1496,002138.SZ,4.0168,603659.SH,3.9484,002812.SZ,3.6589,002624.SZ,3.4681,002555.SZ,3.382,300413.SZ,3.265,300450.SZ,3.1698
233,340006.OF,兴全全球视野,王品,300271.SZ,10.1508,600048.SH,7.9555,300496.SZ,5.7522,002352.SZ,4.6915,300760.SZ,3.7474,300144.SZ,3.6956,601238.SH,3.4656,300413.SZ,3.3419,601688.SH,3.2646,601899.SH,3.2626
234,005037.OF,银华新能源新材料量化A,李宜璇,601012.SH,7.4865,002202.SZ,6.7243,600406.SH,6.173,600438.SH,6.0147,002594.SZ,3.9441,300207.SZ,3.4964,300124.SZ,3.4493,603659.SH,3.3822,601877.SH,2.8808,300316.SZ,2.8418
235,540009.OF,汇丰晋信消费红利,是星涛,000625.SZ,7.4357,600519.SH,6.7892,000651.SZ,6.2832,000333.SZ,5.3065,002236.SZ,4.7665,000977.SZ,3.7153,000799.SZ,3.4488,002304.SZ,3.3002,000581.SZ,3.0088,002415.SZ,2.9522
236,001047.OF,光大国企改革主题,董伟炜,601318.SH,6.109,600519.SH,5.9693,000651.SZ,5.5152,600030.SH,4.2554,000001.SZ,3.4586,002803.SZ,3.4518,300073.SZ,3.4439,000725.SZ,3.4401,600031.SH,3.2979,300088.SZ,3.282
237,004476.OF,景顺长城沪港深领先科技,詹成,0968.HK,5.8331,0700.HK,5.7773,0388.HK,5.5674,0788.HK,4.6018,3690.HK,4.2531,002555.SZ,3.7601,600438.SH,3.4408,300207.SZ,3.3132,2382.HK,3.2866,0268.HK,3.2514
239,001036.OF,嘉实企业变革,谢泽林,000002.SZ,4.82,300036.SZ,4.5245,002035.SZ,3.9175,601799.SH,3.8344,600048.SH,3.5263,600519.SH,3.4717,002439.SZ,3.4225,002791.SZ,3.2702,000725.SZ,3.1984,300207.SZ,3.1882
240,360001.OF,光大核心,翟云飞,600036.SH,5.3761,600276.SH,4.0665,300498.SZ,3.998,601398.SH,3.9617,601601.SH,3.8742,601012.SH,3.4934,601628.SH,3.4216,601939.SH,3.3895,000568.SZ,3.3478,600346.SH,3.2747
242,001126.OF,上投摩根卓越制造,李德辉,600031.SH,7.4855,002475.SZ,6.9229,603338.SH,6.227,603259.SH,6.0663,300760.SZ,5.4037,600276.SH,4.4997,600519.SH,3.4045,300496.SZ,3.3844,300015.SZ,2.9618,601012.SH,2.9551
244,001938.OF,中欧时代先锋A,周应波,600406.SH,8.1428,000001.SZ,7.3952,000002.SZ,7.2167,603160.SH,5.2404,000651.SZ,5.0571,300413.SZ,3.9837,600741.SH,3.3724,300136.SZ,3.1694,002466.SZ,3.0195,002475.SZ,2.8267
246,001158.OF,工银瑞信新材料新能源行业,张剑峰,600309.SH,7.9546,000708.SZ,6.0886,002475.SZ,5.3845,600406.SH,4.4867,601012.SH,4.3954,002271.SZ,3.8811,600346.SH,3.3209,600438.SH,3.099,300450.SZ,2.8909,002353.SZ,2.8351
247,001736.OF,圆信永丰优加生活,范妍,000002.SZ,7.3172,300009.SZ,4.3135,002179.SZ,3.8064,601021.SH,3.5642,002511.SZ,3.4955,300010.SZ,3.3549,600030.SH,3.2873,002223.SZ,3.285,600323.SH,2.8072,300750.SZ,2.765
249,001678.OF,英大国企改革主题,张媛,601318.SH,4.748,002624.SZ,4.4959,600887.SH,4.2974,600030.SH,3.9045,600547.SH,3.3226,600754.SH,3.2788,002601.SZ,3.2776,600309.SH,3.1207,603993.SH,3.1087,300383.SZ,3.0974
250,320022.OF,诺安研究精选,王创练,600536.SH,8.8952,002353.SZ,5.8821,000568.SZ,5.404,002918.SZ,5.1381,002311.SZ,4.3075,603708.SH,3.6866,603816.SH,3.272,002304.SZ,3.2667,601899.SH,2.8295,300418.SZ,2.483
251,001520.OF,国投瑞银研究精选,桑俊,601318.SH,6.2908,600030.SH,4.5112,601939.SH,4.0313,000063.SZ,3.6441,600036.SH,3.3964,600048.SH,3.3402,600519.SH,3.2347,600837.SH,3.1126,000001.SZ,2.7805,000338.SZ,2.5196
253,519673.OF,银河康乐,余科苗,600763.SH,7.0034,300662.SZ,5.8403,601318.SH,5.0322,300253.SZ,4.7632,600519.SH,4.4582,300015.SZ,3.5408,002791.SZ,3.2306,002410.SZ,2.241,002475.SZ,2.2352,002311.SZ,2.1198
255,519606.OF,国泰金鑫,申坤,600570.SH,5.23,002332.SZ,4.5102,603883.SH,4.3423,300413.SZ,4.1732,002050.SZ,3.3725,002832.SZ,3.2909,300010.SZ,3.2075,002301.SZ,3.1476,300133.SZ,3.1448,300725.SZ,3.0498
257,000697.OF,汇添富移动互联,杨,002410.SZ,6.6257,600570.SH,4.9839,002475.SZ,4.8463,603501.SH,4.2076,600588.SH,3.8222,002415.SZ,3.7391,601888.SH,3.1802,300383.SZ,3.1419,603986.SH,3.0288,300782.SZ,2.9314
258,006726.OF,农银汇理稳进多因子,魏刚,600519.SH,4.9846,601318.SH,4.9443,600036.SH,4.8203,000333.SZ,4.5622,600030.SH,3.6152,600276.SH,3.5136,002475.SZ,3.1723,000858.SZ,2.9936,601818.SH,2.1144,300059.SZ,1.9026
259,001577.OF,嘉实低价策略,李帅,601318.SH,8.6761,600036.SH,8.2663,002048.SZ,6.1039,000002.SZ,5.808,002120.SZ,4.0918,001979.SZ,3.25,603659.SH,3.1697,000725.SZ,3.0728,000550.SZ,3.0358,000100.SZ,3.0254
261,000409.OF,鹏华环保产业,孟昊,002616.SZ,6.402,002475.SZ,6.1383,300750.SZ,6.0932,600406.SH,4.2745,300014.SZ,3.5448,600323.SH,3.2651,600438.SH,3.1176,000651.SZ,3.0398,603659.SH,2.729,300124.SZ,2.6994
262,671030.OF,西部利得事件驱动,刘荟,601318.SH,8.0679,600519.SH,7.9772,600036.SH,6.3018,601916.SH,6.1631,600276.SH,4.7213,601166.SH,4.6641,600030.SH,3.0936,600887.SH,2.9209,600016.SH,2.5161,600000.SH,2.4023
263,005505.OF,前海开源中药研究精选A,范洁,000999.SZ,3.2513,002603.SZ,3.151,300039.SZ,3.1142,600332.SH,3.1013,002317.SZ,3.0385,000423.SZ,3.0345,002773.SZ,3.0282,600993.SH,3.0181,002817.SZ,3.0112,000538.SZ,3.0111
264,001105.OF,信达澳银转型创新,王咏辉,600030.SH,5.2546,002271.SZ,4.9547,002475.SZ,4.7785,600309.SH,4.5269,601318.SH,4.5005,601012.SH,3.7369,600332.SH,3.0186,000002.SZ,2.8656,600036.SH,2.615,600519.SH,2.3945
265,001714.OF,工银瑞信文体产业,袁芳,600031.SH,5.1207,000651.SZ,4.6204,300750.SZ,3.9256,000002.SZ,3.5122,600183.SH,3.395,300747.SZ,3.1347,601088.SH,3.0185,002938.SZ,3.0165,002138.SZ,2.7077,688111.SH,2.4639
266,005495.OF,创金合信科技成长A,周志敏,000725.SZ,4.6078,600584.SH,3.5572,000063.SZ,3.2799,000100.SZ,3.2637,002475.SZ,3.1919,002185.SZ,3.0905,002156.SZ,3.0098,601138.SH,2.8209,300750.SZ,2.733,601231.SH,2.7154
267,004484.OF,泰达宏利业绩驱动A,刘洋,601318.SH,5.1672,600519.SH,4.5929,600030.SH,3.5461,000333.SZ,3.2417,600276.SH,3.067,600887.SH,3.0333,000651.SZ,3.0066,601166.SH,2.9817,601766.SH,2.6366,600016.SH,2.5782
269,006926.OF,长城量化精选,雷俊,600170.SH,5.4028,688111.SH,4.3367,000776.SZ,3.5797,600033.SH,3.5529,601169.SH,3.0356,600016.SH,3.0215,002128.SZ,2.9991,600578.SH,2.9844,000069.SZ,2.9777,600015.SH,2.9689
270,000866.OF,华宝高端制造,贺,000002.SZ,4.9126,000100.SZ,4.2149,000725.SZ,4.1089,002415.SZ,4.0498,000063.SZ,3.7546,600900.SH,3.694,600201.SH,2.9967,600031.SH,2.4669,600377.SH,2.3648,601808.SH,2.2793
272,002980.OF,华夏创新前沿,林晶,300750.SZ,6.6427,002475.SZ,4.1316,300059.SZ,3.752,002410.SZ,3.6368,300782.SZ,3.0249,600867.SH,2.9874,300015.SZ,2.9704,688368.SH,2.8632,300760.SZ,2.8018,002384.SZ,2.482
274,001416.OF,嘉实事件驱动,张自力,300012.SZ,5.0096,002475.SZ,4.9001,601318.SH,4.6041,600519.SH,4.3132,600763.SH,3.6688,000661.SZ,3.0358,002714.SZ,2.8937,600276.SH,2.8876,000858.SZ,2.5012,002157.SZ,2.1096
275,001193.OF,中金消费升级,于h,600519.SH,10.6552,000651.SZ,8.8535,000333.SZ,8.1762,600276.SH,6.0288,000858.SZ,5.8935,600887.SH,3.2116,601888.SH,2.8446,603288.SH,2.608,002415.SZ,2.575,600600.SH,2.3801
276,001097.OF,华泰柏瑞积极优选,方伦煜,601318.SH,5.0772,002714.SZ,4.1878,000002.SZ,3.7179,601398.SH,3.1114,002120.SZ,3.0778,002142.SZ,2.8483,300059.SZ,2.8393,601166.SH,2.806,600030.SH,2.8013,600036.SH,2.7766
278,001319.OF,农银汇理信息传媒,韩林,002475.SZ,7.1981,000977.SZ,5.1759,600570.SH,4.3436,002241.SZ,4.2744,002624.SZ,2.9477,002555.SZ,2.8189,300782.SZ,2.783,002396.SZ,2.7544,000063.SZ,2.7501,002850.SZ,2.7032
279,001974.OF,景顺长城量化新动力,黎海威,000858.SZ,4.1392,600276.SH,3.2966,600036.SH,3.2697,601186.SH,3.1173,601377.SH,3.0138,600519.SH,2.8668,601998.SH,2.7423,601318.SH,2.7421,601997.SH,2.7341,600346.SH,2.7238
280,004350.OF,汇丰晋信价值先锋,吴培文,600585.SH,3.2943,000333.SZ,3.1794,600030.SH,3.1195,002032.SZ,2.921,600519.SH,2.7369,603899.SH,2.7062,601318.SH,2.6654,002353.SZ,2.5892,601288.SH,2.5867,600201.SH,2.4574
281,000688.OF,景顺长城研究精选,曾理,601318.SH,8.2576,600036.SH,4.9898,601997.SH,3.1301,601998.SH,3.1179,601186.SH,3.0174,600276.SH,2.8163,000858.SZ,2.6622,000651.SZ,2.5815,601377.SH,2.5791,600346.SH,2.2431
282,000991.OF,工银瑞信战略转型主题,杜洋,601222.SH,10.7289,002343.SZ,5.5053,300569.SZ,5.1153,002202.SZ,3.2923,002531.SZ,2.8247,603601.SH,2.7186,002624.SZ,2.6583,000625.SZ,2.5872,300463.SZ,2.4596,002791.SZ,2.4164
283,006257.OF,信达澳银先进智造,冯明远,002456.SZ,3.9578,600584.SH,3.6454,002185.SZ,3.2668,603186.SH,3.2288,603005.SH,3.1288,002156.SZ,2.8801,600131.SH,2.6278,603501.SH,2.5787,603659.SH,2.4847,603516.SH,2.4625
284,004716.OF,信诚量化阿尔法,提云涛,601318.SH,6.7872,600519.SH,5.7737,600036.SH,4.0284,601166.SH,3.2232,600585.SH,3.1487,601211.SH,2.8746,000858.SZ,2.6203,000651.SZ,2.4005,600309.SH,2.2978,000333.SZ,2.1813
285,007470.OF,博道叁佰智航A,杨梦,601318.SH,8.4172,600519.SH,5.958,000651.SZ,3.8668,600036.SH,3.846,000333.SZ,3.1385,000002.SZ,2.9753,600276.SH,2.6156,000858.SZ,2.5531,600585.SH,2.437,601818.SH,1.9256
286,000411.OF,景顺长城优质成长,徐喻军,601318.SH,7.6363,600036.SH,5.3686,601186.SH,3.3386,600276.SH,3.1456,601997.SH,3.1266,601998.SH,3.1151,601009.SH,2.6151,000651.SZ,2.2827,600346.SH,2.2133,601818.SH,2.1955
287,376510.OF,上投摩根大盘蓝筹,朱晓龙,601318.SH,6.6647,600036.SH,5.0755,600519.SH,4.9162,600837.SH,3.8565,601398.SH,3.342,000002.SZ,2.8599,000333.SZ,2.5654,600031.SH,2.3893,600030.SH,2.2814,603799.SH,2.2467
289,004352.OF,北信瑞丰研究精选,庞琳琳,000651.SZ,6.7324,002460.SZ,4.3512,300033.SZ,4.1019,600048.SH,3.3735,600036.SH,3.3037,688111.SH,3.2799,000725.SZ,2.526,002191.SZ,2.2074,000001.SZ,2.2025,601318.SH,2.1995
290,001605.OF,国富沪港深成长精选,徐成,0981.HK,4.0532,1888.HK,3.0792,300450.SZ,3.0191,2883.HK,2.8426,601799.SH,2.5745,000977.SZ,2.5112,601012.SH,2.4897,600201.SH,2.489,0813.HK,2.3497,1776.HK,2.2603
291,004606.OF,上投摩根优选多因子,施文,601398.SH,3.231,600585.SH,2.9844,002353.SZ,2.9734,600048.SH,2.6034,603338.SH,2.5481,600837.SH,2.5396,601009.SH,2.4678,001979.SZ,2.4675,601166.SH,2.4412,601318.SH,2.3824
292,005707.OF,富国港股通量化精选,徐幼华,0700.HK,9.6496,0005.HK,8.9835,0939.HK,6.7821,1299.HK,5.4758,2318.HK,3.7492,0941.HK,2.9626,2628.HK,2.4677,0883.HK,2.4386,2601.HK,2.0995,1658.HK,1.889
294,005530.OF,汇添富价值多因子量化策略,吴振翔,601318.SH,7.7774,600519.SH,5.0827,000333.SZ,3.1124,600276.SH,2.9979,000858.SZ,2.9699,601658.SH,2.9613,600036.SH,2.4439,601398.SH,1.9613,600585.SH,1.8301,600030.SH,1.7936
295,005502.OF,华泰紫金智能量化,毛甜,000651.SZ,3.5985,601998.SH,3.2587,600570.SH,2.9564,600276.SH,2.9092,601628.SH,2.7551,600837.SH,2.4593,600036.SH,2.4141,601318.SH,2.3109,603160.SH,2.1225,601336.SH,2.1135
298,000549.OF,华安大国新经济,翁启森,000977.SZ,5.7759,603068.SH,4.3596,300316.SZ,3.2778,000063.SZ,3.0191,002531.SZ,2.6558,600745.SH,2.3591,601138.SH,2.344,601231.SH,2.259,603799.SH,2.0998,300498.SZ,1.9356
299,002334.OF,汇丰晋信大盘波动精选A,方磊,002311.SZ,2.7066,601818.SH,2.6688,600900.SH,2.3974,601166.SH,2.3965,601229.SH,2.3045,600000.SH,2.3042,600170.SH,2.2964,601899.SH,2.289,600926.SH,2.2743,601988.SH,2.2599
302,005635.OF,博时量化多策略A,黄瑞庆,601318.SH,5.1654,601658.SH,3.4712,000001.SZ,3.0343,600519.SH,2.7085,600000.SH,2.4233,601328.SH,2.3189,000858.SZ,2.152,601628.SH,1.932,300498.SZ,1.8539,000333.SZ,1.8404
305,007133.OF,嘉实长青竞争优势A,龙昌伦,603444.SH,2.5525,000568.SZ,2.257,600486.SH,2.242,000651.SZ,2.1897,002236.SZ,2.1842,600886.SH,2.1341,601336.SH,2.0779,600801.SH,2.0649,000596.SZ,2.0504,002007.SZ,2.0323
307,000082.OF,嘉实研究阿尔法,张露,601318.SH,5.7105,600036.SH,4.3099,600030.SH,3.7796,600519.SH,3.5858,000651.SZ,3.2152,601398.SH,2.2063,000858.SZ,2.0278,002475.SZ,1.9652,601166.SH,1.9404,600837.SH,1.4941
308,004730.OF,建信量化事件驱动,薛玲,600519.SH,6.5802,601318.SH,4.8207,000651.SZ,3.2575,600030.SH,3.1778,600036.SH,2.698,600276.SH,2.6711,600837.SH,2.0178,000661.SZ,1.6768,603658.SH,1.6083,603883.SH,1.5169
309,006193.OF,鑫元核心资产A,丁h,601318.SH,7.0823,600519.SH,4.4378,600036.SH,3.0064,000651.SZ,2.3915,000333.SZ,2.2665,000858.SZ,2.0655,600276.SH,2.0081,601288.SH,1.786,000001.SZ,1.758,600000.SH,1.6781
310,001291.OF,大摩量化多策略,余斌,601318.SH,6.9335,600519.SH,4.0089,600036.SH,3.3148,601166.SH,2.5893,000651.SZ,2.5013,000333.SZ,2.2506,600030.SH,1.9994,000858.SZ,1.9148,600276.SH,1.8275,000002.SZ,1.6294
312,005189.OF,海富通量化前锋A,杜晓海,601658.SH,4.4019,000338.SZ,2.2684,002415.SZ,2.2433,601966.SH,2.1703,601916.SH,2.156,000063.SZ,1.9933,002475.SZ,1.9753,600048.SH,1.9401,002353.SZ,1.9315,002007.SZ,1.7094
315,000761.OF,国富健康优质生活,王晓宁,601318.SH,6.4863,600030.SH,4.2163,600519.SH,4.1683,600036.SH,3.1314,000651.SZ,2.2858,601688.SH,2.176,600276.SH,1.892,000333.SZ,1.8895,000858.SZ,1.8082,600201.SH,1.7827
316,002871.OF,华夏智胜价值成长A,孙蒙,603806.SH,2.1722,002818.SZ,2.0689,300660.SZ,1.9866,000719.SZ,1.9856,600551.SH,1.9825,002724.SZ,1.9728,603699.SH,1.8531,300360.SZ,1.8119,002111.SZ,1.8112,300546.SZ,1.7621
318,002952.OF,建信多因子量化,叶乐天,600519.SH,5.5279,601318.SH,4.2191,000858.SZ,2.8104,601658.SH,2.3102,000661.SZ,2.1796,600887.SH,1.9266,600276.SH,1.8048,300059.SZ,1.7365,000333.SZ,1.7042,002475.SZ,1.687
321,003416.OF,招商财经大数据策略A,王平,601318.SH,5.9515,600519.SH,4.4937,600276.SH,2.8103,601166.SH,2.4569,000651.SZ,2.2005,000333.SZ,1.9567,600030.SH,1.7299,000858.SZ,1.4315,300498.SZ,1.3827,600000.SH,1.3783
322,167702.OF,德邦量化优选A,王本昌,601318.SH,4.6055,601717.SH,1.8211,601398.SH,1.7885,600873.SH,1.782,300016.SZ,1.7171,002677.SZ,1.6883,600519.SH,1.6777,300130.SZ,1.6318,300776.SZ,1.532,601058.SH,1.5304
325,006911.OF,长江量化匠心甄选A,祗飞跃,002273.SZ,1.991,600895.SH,1.7924,600338.SH,1.7254,601958.SH,1.7158,600643.SH,1.6539,300014.SZ,1.5899,300251.SZ,1.5685,600720.SH,1.5655,300118.SZ,1.5577,002367.SZ,1.5526
327,001277.OF,博时国企改革主题,林景艺,000157.SZ,2.3955,000708.SZ,1.9218,600048.SH,1.8216,000858.SZ,1.6353,600919.SH,1.5944,000425.SZ,1.5669,600383.SH,1.5367,600809.SH,1.4475,600346.SH,1.4285,600030.SH,1.3501
328,001421.OF,南方量化成长,李佳亮,600030.SH,2.2007,601066.SH,2.1376,600837.SH,2.0376,601128.SH,1.6129,002624.SZ,1.5285,000961.SZ,1.5235,002065.SZ,1.5098,300014.SZ,1.4805,002174.SZ,1.4739,603659.SH,1.3797
330,001637.OF,嘉实腾讯自选股大数据,刘斌,002025.SZ,1.7313,000623.SZ,1.6837,300253.SZ,1.4753,002204.SZ,1.4443,600030.SH,1.4439,600466.SH,1.4178,002130.SZ,1.3869,300498.SZ,1.3551,600720.SH,1.3225,000031.SZ,1.0064
333,003312.OF,大摩睿成中小盘弹性,陈健夫,603444.SH,1.4178,002174.SZ,1.3838,601966.SH,1.3549,002439.SZ,1.3293,300347.SZ,1.3078,600426.SH,1.2798,000513.SZ,1.2684,002250.SZ,1.2596,600536.SH,1.2531,000999.SZ,1.2399
334,001849.OF,前海开源强势共识100强,谢屹,600519.SH,1.6594,300014.SZ,1.5831,000858.SZ,1.3993,603816.SH,1.3727,000651.SZ,1.3339,601689.SH,1.2836,002174.SZ,1.2404,000596.SZ,1.2393,000333.SZ,1.1823,601872.SH,1.176
337,006195.OF,国金量化多因子,杨雨龙,601658.SH,11.1023,601916.SH,3.9187,601077.SH,3.2534,002540.SZ,1.2168,600961.SH,1.1531,002379.SZ,1.1346,300150.SZ,1.0648,300330.SZ,1.035,300736.SZ,1.0231,002380.SZ,1.0209
338,006346.OF,安信量化优选A,施荣盛,000913.SZ,1.0122,300440.SZ,1.0074,600532.SH,1.0062,000573.SZ,1.0052,300251.SZ,1.005,002248.SZ,1.0021,000006.SZ,1.002,000708.SZ,1.0012,002457.SZ,0.9999,600693.SH,0.9922
340,163110.OF,申万菱信量化小盘,俞诚,600466.SH,1.1064,600801.SH,1.052,600720.SH,1.0349,600030.SH,1.0154,002745.SZ,1.0004,601233.SH,0.9973,000878.SZ,0.9912,300418.SZ,0.9739,002850.SZ,0.9732,600036.SH,0.9725
342,002210.OF,创金合信量化多因子A,董梁,300699.SZ,0.9536,300326.SZ,0.9443,002123.SZ,0.9101,300118.SZ,0.8806,300377.SZ,0.8244,601163.SH,0.8214,002251.SZ,0.8191,002318.SZ,0.7961,300487.SZ,0.7877,300559.SZ,0.7652
