province,value
福建省,"[ 25.289202340267266 , 1.9880999084762667 , 0.17533357925434084 ; 26.485902673396897 , 8.34368331336983 , 1.926787704671396 ; 26.55242761529182 , 0.6281836533801352 , 3.2345423610190673 ; 24.119776297332734 , 9.723159804094571 , 12.773239756785793 ; 23.936895413941823 , 9.064250217693251 , 1.6764207555882558 ; 25.93530447368968 , 8.18391340348963 , 1.9778285051080156 ; 24.014068812084123 , 2.5448541702548133 , 3.327613452580057 ; 23.580386116969105 , 5.880633134563483 , 0.3221996636706073 ; 23.586141578391427 , 3.5385043956041016 , 0.5029159927772708 ; 23.162259591478925 , 3.681896356751001 , 0.8349808382980871 ; 25.283531921053285 , 4.755256028616072 , 0.2097401267512547 ; 24.75418909193723 , 12.810392341887185 , 2.235847777180876 ; 25.379915104400986 , 1.4744609604911143 , 0.17533357925434084 ; 23.854129824305762 , 5.416423877618634 , 0.9665568710176754 ; 22.365971301621016 , 1.5262140301417306 , 0.3933062815577659 ; 22.74805898851007 , 0.7964192866534693 , 0.21633919351406494 ; 24.30238121645297 , 20.816084891204095 , 1.1733083119564685 ; 24.06400571180577 , 1.0559216098175934 , 1.0129071079145562 ; 24.43316524601932 , 1.2567030829883508 , 0.15458054526386505 ; 23.891978842304745 , 5.728800262531902 , 2.154642058492772 ; 23.17552015445916 , 4.412487300298189 , 2.000200327111111 ; 23.7784943919124 , 12.305558974744162 , 1.5125668745603325 ; 22.65452326182559 , 4.903169305180716 , 1.4714147521309666 ; 25.194894287014204 , 13.194762123541595 , 2.3831943699733014 ; 23.203924103160702 , 0.943716192243948 , 0.7364772207300977 ; 24.62765787815044 , 2.4238413915798747 , 1.0971551983875716 ; 23.972553413500076 , 0.8343165087832818 , 2.01183286627701 ; 22.301801144640695 , 5.002000743496931 , 0.304745359368421 ; 23.26524830841372 , 14.083539106296667 , 0.8704437476135607 ; 22.169860972165022 , 1.6994937515425692 , 0.3535923365626518 ]"
山西省,"[ 23.75420436605803 , 2.455475290933875 , 0.5837017974026906 ; 23.09796084639117 , 13.430940499056945 , 0.5909907418327505 ; 24.045095941141128 , 3.3925202475858827 , 0.1275470296361942 ; 25.27112558411569 , 12.680378011808417 , 2.622811263679657 ; 22.760881767865197 , 1.7631462325368077 , 0.5491292904559043 ]"
湖南省,"[ 24.810928358976803 , 1.5745338024750084 , 0.0970327856001827 ; 25.69984484617987 , 21.98614684708521 , 0.3743837458950496 ; 24.2375040070323 , 7.354687238323691 , 1.1220337259526487 ; 24.693327679095717 , 1.3991705520101991 , 0.5582729982986758 ; 23.84770675690815 , 6.523141950106764 , 1.903003480599269 ; 25.160820974635648 , 9.627651088589932 , 0.6842502115215721 ; 25.11408884412711 , 3.6095243481632617 , 0.7866736221659413 ; 24.01895673374442 , 0.6643924667435948 , 1.532814439600355 ; 21.885289436326563 , 57.07774183320978 , 0.3157095237744409 ; 24.3270376541716 , 8.148630410289103 , 1.5502690069826577 ; 23.41285325884457 , 1.7876818561595538 , 0.4828190467179701 ; 23.147584493734637 , 4.647086443256073 , 0.9938044922308868 ; 22.89935987305488 , 1.1657601196540182 , 0.1012809618809117 ; 23.675326225564124 , 1.4005853978814298 , 0.6567299871826281 ; 22.28018675781456 , 2.4587018478456506 , 0.2034707623959798 ]"
陕西省,"[ 25.49129373899403 , 4.259575083457792 , 1.731747323072669 ; 23.423382393241376 , 3.917818279173012 , 0.4474291369863743 ; 23.68978341118066 , 1.4791661139100882 , 0.17621640993547272 ; 25.019189772566882 , 1.2600037149830194 , 1.122502220421 ; 24.747789175254898 , 1.9502866548718465 , 0.515471391335521 ; 22.4996881666385 , 4.684406688619002 , 1.0571729677527824 ]"
香港特别行政区,"[ 23.877983228434534 , 1.253723379965438 , 0.7796971762414799 ; 27.4305039768573 , 0.5711988905000298 , 0.17495990950267698 ; 25.264999221680107 , 3.5025867708819236 , 2.2677373255183833 ; 25.401377769383306 , 1.2582088073925044 , 3.3412023247642533 ; 26.261683632473265 , 0.9120906418156774 , 3.0440432119352248 ; 26.45281611216955 , 6.968754626264912 , 7.134198441196176 ; 27.45914780712841 , 1.880228127379165 , 0.5499185194588965 ; 24.243585085110826 , 2.9062863274828445 , 1.3029905122490049 ; 24.90491107448568 , 1.489626105177338 , 0.5479208583700156 ; 25.311134137135248 , 4.7688648834518865 , 0.5955587654148664 ; 24.57748863439351 , 2.184546584621424 , 1.8389532478278856 ; 23.563495064972066 , 2.7509300063616413 , 0.3699096929877712 ; 25.59399450032165 , 5.939194980987708 , 0.4044169101807967 ; 24.548852061252298 , 0.6009843598926261 , 2.4571887725749955 ; 27.82172497553255 , 0.9820717746365896 , 5.2082288137695 ; 22.77562901056002 , 3.7785418922429197 , 0.009133584025361541 ; 26.12169604543664 , 1.1408401842872256 , 4.020827225129963 ; 25.422340726949376 , 1.485134470244911 , 3.080421689784155 ; 25.359613149188892 , 2.5067038187116952 , 0.7715674168060485 ]"
新疆维吾尔自治区,"[ 24.43927786307844 , 1.4241899639117968 , 0.680735025261005 ; 24.52999062721216 , 0.945099457039312 , 0.6568301051867158 ; 25.379267705899892 , 1.348204401965767 , 0.2340485047459705 ; 23.573656737107616 , 3.765574959451567 , 0.8894385707077781 ]"
贵州省,"[ 28.13265069934669 , 12.141797968863315 , 34.293014906179586 ; 23.19803881407516 , 3.9181605670994433 , 0.926507236083916 ; 23.961425997456175 , 0.6530265134567452 , 1.865231057326879 ]"
四川省,"[ 25.641240128507853 , 5.246220295450356 , 1.4237315357100049 ; 23.032276764475693 , 8.845516084222027 , 0.7031475321198554 ; 25.50727144472024 , 6.161866479045309 , 3.30060831400158 ; 27.041660423941604 , 7.4663689932941955 , 4.799902619435164 ; 23.550018934710533 , 0.8791037613524809 , 1.1531403349219136 ; 24.388031528629888 , 1.4393122329596535 , 0.6206907850064793 ; 24.04507306887844 , 3.07697476170757 , -4.464798510162264 ; 24.864175300823465 , 3.5762528456658225 , 0.5803371412488051 ; 22.87518465735937 , 1.733426799841485 , 1.0250940787439546 ; 22.403542383066558 , 4.139035319333371 , 0.2914211426116071 ; 24.06555956313955 , 0.7955897131152556 , 1.5773611726209968 ; 24.28004645157057 , 7.585718580223603 , 0.7809379128736937 ; 23.598774137240767 , 13.35430622527802 , 1.0008554072024702 ; 23.89597327760911 , 8.721967819606197 , 0.4430813795476515 ; 23.832536850096243 , 10.608321167371251 , 1.6347726399179143 ; 23.766600351101275 , 6.709063921775258 , 0.8649446040844523 ; 22.766807209099852 , 2.7261918114096866 , 0.04854758510903541 ; 22.285307458118726 , 7.006254652258687 , 0.983203742951899 ; 22.91217881482259 , 9.255544946644829 , 0.8138185759116846 ; 23.91354259305268 , 2.891383708731593 , 0.16826557901981964 ]"
浙江省,"[ 24.832390215759965 , 6.553570847973437 , 0.4968158314749476 ; 24.33310933770873 , 6.588715119787707 , 0.4950687071202392 ; 24.154950191568307 , 4.505673312453959 , 1.5965573390368768 ; 24.922462095208193 , 4.949381473275922 , 1.0845591717759118 ; 23.377356723005143 , 5.557389430354582 , -0.01105860133624233 ; 24.78906844539905 , 13.80008789622659 , 1.268949028467422 ; 24.48744460663621 , 5.566554542061713 , 0.2547023698054639 ; 24.127448828973733 , 9.381063686909345 , 2.0615345757447714 ; 24.138860627322543 , 1.9451504763368932 , 0.5538017644238687 ; 24.67713828233449 , 3.3329188898130795 , 1.0620792495760287 ; 25.56670863302506 , 9.056037707307985 , 3.6388741319799776 ; 25.142556233070177 , 18.539410502813435 , 1.2115965759004133 ; 26.41883178339875 , 6.626245236158396 , 1.3242081232498568 ; 25.783264256002393 , 1.8253279389612245 , 2.5456995594732708 ; 24.799682949986988 , 6.193978501575447 , 1.2612444967250018 ; 24.43660903843868 , 22.9582504021782 , 1.0910080237961577 ; 23.97083010482089 , 3.942936158541996 , 1.7143583642747802 ; 23.638220620387848 , 4.011852915288249 , 0.4209391781131069 ; 22.25693179172433 , 1.7178270724160665 , 0.5061207445274466 ; 24.063338511770453 , 22.20398898916663 , 0.5224139367704131 ; 24.428150521283733 , 16.518879546680502 , 0.7720527580049875 ; 23.9713781237839 , 3.4901671385567425 , 0.4325734983297895 ; 22.23384992443689 , 1.7061076659968994 , 0.7736903436281904 ; 23.268366524024202 , 4.332620612783567 , 0.4580956822723527 ; 22.103373316679406 , 2.423119534023483 , 0.301277464851298 ; 25.14315441001144 , 0.7835622121776605 , 0.6120004500446876 ; 23.71067559096072 , 1.6859043565129344 , 0.4520740957513965 ; 23.639099318619824 , 7.129766790142673 , 0.279314678404445 ; 25.64557518832418 , 4.886609831183642 , 3.389522408772359 ; 24.726222666141208 , 2.2608568329091034 , 1.6566462845942238 ; 23.11742486548697 , 1.1978397283851443 , 1.5046380033177538 ; 24.89444106143532 , 16.238273491294212 , 1.7189908320498508 ; 24.128923937440568 , 6.621307000398311 , 0.5023896556842178 ; 24.5067833838375 , 4.5735512553387565 , 0.7018752371768897 ; 23.153514660318102 , 4.48349220499159 , 0.5018902563089606 ; 21.935964082714086 , 1.8928605188035916 , 0.6059906402973744 ; 23.326227076820253 , 0.8150760887602276 , 0.4874470974663791 ; 24.723982980935425 , 7.992098573152759 , 2.084550818503476 ; 22.729643486231517 , 10.012004783415303 , 0.8102993935059914 ; 23.937223084725996 , 4.212085961841737 , 1.948721043948724 ; 23.12901448874191 , 1.3441027894302555 , 0.9391332135427128 ; 24.362846211232906 , 3.0932146679968517 , 1.7448484696347075 ; 24.78690674744548 , 3.453546571210089 , 1.1910959724103691 ; 23.437324233504228 , 1.6326887849549967 , 1.0259531671445172 ; 22.820427470125757 , 3.064657766143828 , 0.5210098612737138 ; 23.140554376205426 , 3.878178634728527 , 0.1621129918132458 ; 23.805433922720237 , 1.1473063271226112 , 1.5106428721417264 ; 22.697829505373672 , 4.741474407358666 , 0.6268591495131658 ; 23.527112280419942 , 5.782902797045553 , 0.2815238032880649 ; 22.889187381753977 , 2.495807418044414 , 0.27477789993684604 ; 24.123587817771373 , 7.119043133947983 , 0.9711876732185732 ; 23.709225136124104 , 5.095560940289413 , 0.597036202742228 ; 24.16137912070888 , 10.127691069117137 , 0.16195607909289866 ; 22.13950885965476 , 1.4735582646074168 , 0.2340935329768993 ; 23.246005325745394 , 1.0541429208991189 , 0.13423292690746594 ; 22.750974324400612 , 2.0553286092930083 , 0.6686465079489896 ; 23.15955584878531 , 1.9776174089916607 , 0.6140937361164822 ; 23.7193684248006 , 12.904953438529331 , 1.1576056184299297 ; 22.263893904052534 , 2.140619855997968 , 0.6544421803889494 ; 23.460097989477948 , 2.6143550060930427 , -0.048219637744053086 ; 22.522044247012644 , 1.7666571987593114 , 0.6034310014112105 ; 23.13667279163906 , 11.21910755680874 , 1.0432609647806743 ; 22.620019595086962 , 1.8086831151734368 , 0.8164889628351414 ; 23.329932859453358 , 2.579395438833615 , -0.7935432317784659 ; 24.63985435771155 , 0.8030877176975015 , 1.172248911265804 ; 22.40548396402852 , 3.3469841787787096 , 0.9430823009614256 ; 22.179487490845666 , 4.180591458557123 , 0.3794940775679197 ; 22.560901948925995 , 2.3725566515656564 , 0.5051223007422623 ; 23.13149030671291 , 7.0138851475919415 , 0.5704979209192557 ; 23.04233688668998 , 4.258499310731861 , 0.02041937734153264 ; 22.95929621685319 , 5.293382088823778 , 1.5692251707940903 ]"
重庆,"[ 24.52909187421053 , 1.1649841409120545 , 0.016805489311811934 ; 24.495228450539308 , 1.588232406841542 , 1.0899682602921503 ; 25.592521881531102 , 22.65814337062693 , 1.48796001875625 ; 24.66672207595302 , 0.6398599769924113 , 0.8392866954301311 ; 24.031245478330497 , 19.26378219844484 , 1.2507931052954933 ; 23.039154086049386 , 0.7602273943786974 , 0.3125538123859874 ; 22.881708210925694 , 6.076081297928293 , 0.2621834217855635 ; 23.411688549227204 , 4.796209062755546 , 0.4001935160707585 ]"
江西省,"[ 23.17668359719564 , 5.405393368009921 , 0.43186951657389183 ; 24.555955855513762 , 4.916990295582128 , 1.1838909826508668 ; 24.808538327459164 , 7.680875293052027 , 0.08747380435324563 ; 24.313937328366666 , 0.8527884718489791 , 0.5441715671687029 ; 23.36286929883286 , 0.8796933490374129 , 1.7801284231876544 ; 22.80401282845571 , 1.0139917064349997 , 0.22255914060708004 ]"
湖北省,"[ 23.901472356510094 , 4.8752890312222785 , 0.9255251165140708 ; 25.11841997187643 , 3.2108021986131026 , 1.306120092028302 ; 24.134394914666327 , 0.5767572455920708 , 1.1184783977328108 ; 22.60207418246099 , 24.70198627412322 , 0.05092372547619047 ; 25.5790161489825 , 6.063277691997608 , 1.6423629340016532 ; 24.29590417526793 , 1.273411097887062 , 0.23996749261224146 ; 24.568105376327118 , 2.7185197775606884 , 2.711793180964424 ; 21.87055864453186 , 1.4267147646514036 , 0.1730783167764745 ; 25.309111700320077 , 4.5106900497287405 , 0.2620923729235307 ; 24.190259294437677 , 6.3700372567218295 , 1.1744544008949376 ; 24.125266430795275 , 3.079396781459789 , 0.26802966575084475 ; 24.433311054556732 , 3.5618774470032317 , 0.5310414968177968 ; 23.64771690849544 , 8.112982569873196 , 1.227931874375 ; 22.323000774767884 , 1.15096469454163 , -0.05248571600840024 ; 22.70133525320962 , 2.827134650322048 , 0.7806276697546387 ; 22.872283807893567 , 5.881705146334872 , 4.5664466548658105 ]"
上海,"[ 22.700598196650013 , 7.190758341439767 , 0.9567994099325036 ; 25.55463303341704 , 1.1785295718941635 , 0.698674935863394 ; 26.191568274024448 , 0.9493613262690678 , 1.5811577911440289 ; 26.239716060653762 , 1.5079039607234332 , 3.3822555727212538 ; 26.33042882478748 , 1.1146305201567028 , 3.3822555727212538 ; 24.28209807462988 , 10.301517417040976 , 1.4130093311153011 ; 24.0853844481899 , 0.8728180714238412 , 0.3073558426679478 ; 25.210089319832672 , 1.8300835675277851 , 0.04293361545626747 ; 25.61331516769204 , 4.154429829271251 , 1.9302915146564696 ; 25.65587595182457 , 1.0806034328372731 , 0.8371544645855885 ; 23.609258450136167 , 0.8162957162933496 , 0.6296497610355798 ; 25.91878385903616 , 22.767174450439054 , 0.9954790777227618 ; 24.47185291159536 , 11.373502132960432 , 0.21488994600825084 ; 23.110637844169478 , 8.623929748131804 , 1.8141324610762204 ; 23.74693410271717 , 2.2101354910929945 , 0.4592863934737598 ; 23.64537803704859 , 6.760709233318343 , 0.3871818243599407 ; 24.60449968355468 , 11.539687149193346 , 1.1214586828152175 ; 22.434617531872217 , 9.133583928841073 , 0.5965794147132454 ; 23.652735029811947 , 1.4510929478257453 , 0.05219288867738908 ; 23.90876428470233 , 2.035099346823765 , 1.0101683241844313 ; 23.296927243064488 , 11.48215278196476 , 1.1530473919583983 ; 22.44159044076689 , 2.1697599317191423 , 0.2218602906787763 ; 25.540050968530906 , 5.825209750927456 , 0.3453469014358462 ; 21.6691805894402 , 1.3812785073383809 , 0.08822954522148846 ; 24.195376520017103 , 2.1414727189582767 , 1.242630133076385 ; 24.572668536594595 , 1.264164779541948 , 1.4048524916804146 ; 23.20464514146025 , 3.1992754172628817 , 1.550318827326944 ; 23.64190113356272 , 3.6917316784736376 , 1.0542438755842751 ; 24.975222087981674 , 1.4212551433023677 , 1.5074298499230754 ; 24.637783974790512 , 8.673116403893347 , 0.8352354413047246 ; 25.47252838705824 , 0.7161554426056079 , 1.444075075144852 ; 26.44827384551391 , 0.6498312403134264 , 2.0377771929962867 ; 23.283816392847434 , 1.2007914092967222 , 0.8277988248355538 ; 22.152387278337923 , 4.118645391020847 , 1.017016076415183 ; 23.605890819106733 , 3.219199719156085 , 2.6875613028885788 ; 23.46739022687069 , 2.7196850331031595 , 0.35474520548988303 ; 24.8375819551686 , 1.0063922881509393 , -0.16752638714580168 ; 22.3333339507619 , 4.416990078544608 , 1.3615449581168833 ; 23.76754200784865 , 10.491452301886213 , 0.6147263787708662 ; 26.601424559538263 , 0.5204874680827303 , 1.0457601479036025 ; 23.123836938836973 , 6.105215262576497 , 0.3507735089216217 ; 21.225837204275503 , 1.9558205773609865 , 0.4780216185977243 ; 24.95197214512052 , 0.8698017142858404 , 1.1504766282056014 ; 25.338208024478046 , 26.920799390673928 , 0.3757008412990652 ; 23.86870203242395 , 7.167778239141778 , 1.2326538980754809 ; 24.49387212289634 , 1.7143264874373771 , 0.3854555552479877 ; 22.196288201576127 , 2.67797555617068 , 1.9101965243571424 ; 23.377291261357566 , 3.1302909666315184 , 0.0718833737294173 ; 24.421421971096397 , 3.9289902402521046 , 0.5640713231131887 ; 21.121021301984523 , 3.9999060047886403 , 0.03071728196428572 ; 25.46399729211901 , 15.62377114203102 , 0.8586425520300892 ; 23.42989185042137 , 14.051664357752427 , 2.1717613825207254 ; 25.119054009183944 , 2.6924333322620564 , 1.2433281687043918 ; 21.82628577850524 , 1.3013602419994847 , 0.20555151938295613 ; 25.411709377674278 , 0.6104014870105313 , 0.5044095814121214 ; 22.35593375141393 , 7.710267438402081 , 0.3692775733087047 ]"
