province,value
北京,"[ 26.65280178743223 , 2.5147452402180552 , 0.950817879758182 ; 24.428965575510407 , 5.472882881449835 , 0.9890282363724868 ; 25.921516613683693 , 9.097967894935387 , 1.1283527335387715 ; 25.87076332474597 , 5.198188325303446 , 1.2067126047391774 ; 23.59965905878969 , 5.246689131569839 , 0.23830225671450214 ; 24.33857482521173 , 33.316772302959926 , 1.8385904278134504 ; 25.321737035112733 , 19.009238416970454 , 1.6357135405640972 ; 23.90323493808591 , 2.282035145228295 , 2.053569300966516 ; 23.44997512202281 , 4.563002578596389 , -0.15901999331362987 ; 28.207678304065947 , 0.6792023839725265 , 0.8830176062857714 ; 24.116986300007987 , 3.8177266611365335 , 0.11448270701881093 ; 26.106837175720454 , 0.7857162453754079 , 0.9673724966573428 ; 23.818679030954794 , 3.7220041789920373 , 0.6121267980112494 ; 24.507821031266605 , 19.36632926014304 , 0.007771368165750894 ; 24.800988155070314 , 18.05041715758812 , 0.20582457661223932 ; 25.614254887597216 , 1.4130492632298948 , 0.041195528040337145 ; 26.785543476524488 , 0.9066148786366074 , 0.7186483475809858 ; 27.200643861345572 , 6.323719310332856 , 0.3842235196885993 ; 22.944623520785164 , 5.22629528790116 , 0.29011834954081633 ; 24.979636495925174 , 9.42878021108406 , 0.8567284678562824 ; 23.013319511989106 , 6.502669923377441 , 0.437334596648544 ; 23.52263791770429 , 2.9680147204388327 , 0.4768799514996582 ; 23.334416829334305 , 8.224910891730701 , 0.3023305081853577 ; 25.81439703003953 , 1.1342825673323604 , 0.15319121172645586 ; 23.971344690218874 , 13.43480481751854 , 0.6310538461865445 ; 24.83442705609801 , 6.264631516145985 , 1.3183873368399897 ; 23.191776407440084 , 5.54746649113353 , 0.4899213551695693 ; 22.66366662731778 , 8.082401374231061 , 0.8403653709260671 ; 25.565206859584 , 20.880513168424933 , 1.004582354859002 ; 26.147102335866283 , 0.5224654240425123 , 1.006481646924886 ; 25.93417121821318 , 0.6051239003669441 , 0.7325678961363492 ; 26.175737409124427 , 4.7595714822319835 , 0.7800513395307432 ; 26.4384824823141 , 0.8859021515467159 , 2.0347296265186574 ; 24.193751330521284 , 3.5985459363497765 , 0.3018345845005398 ; 24.380716463332423 , 8.883737891251398 , 0.695642962814149 ; 24.114300418518738 , 0.8450395474054709 , 0.6017508020008109 ; 26.244549946826226 , 0.5229055786797769 , 1.2488346206252248 ; 24.640052459659422 , 6.586601982345194 , 0.7481400970298798 ; 27.97706216649185 , 0.7430282240210594 , 1.0826404613179714 ; 25.572262241897867 , 0.6312465747112943 , 1.4199442595318852 ; 28.06777493062557 , 0.645674536485619 , 1.0667931571722091 ; 27.045598626375394 , 0.5436249031413227 , 0.1887484238971176 ; 25.071121281491337 , 13.202503915893958 , 0.6374353281705526 ; 25.170300229338693 , 3.0292995399811136 , 0.8412434615046359 ; 23.471008468561674 , 2.8130379009797246 , 0.09826505116008294 ; 24.48391805373008 , 5.147863857856743 , 0.5510125533263293 ; 25.23004941747445 , 1.081683551839708 , -0.07707154863877877 ; 25.507768453504138 , 1.6666936163218904 , 5.073493692961663 ; 26.424426212706667 , 1.468184400087609 , 0.02966902655093199 ; 27.256800425326194 , 1.9558847685776841 , 1.7457461523125748 ; 25.80490384416061 , 0.8487892532323555 , 1.091680808083919 ; 22.793947019672448 , 4.687787423835051 , 0.07807010723126878 ; 22.919047380179556 , 4.5597491944554 , 0.5662703743561252 ; 24.66759411564179 , 1.2788119120639083 , 0.7638099854771985 ; 24.43364243033973 , 2.929349402223957 , 0.08661923138324208 ; 25.49864615088403 , 16.528850645166713 , 0.3447333819833492 ; 25.38000386553856 , 0.5083405108630853 , 1.0298451590315785 ; 22.21777668268053 , 3.0728258956921524 , 0.6643696042609127 ; 21.736721020726556 , 2.9716055318505337 , -1.6104789630820129 ; 23.53346214452024 , 20.100186642473727 , 1.1469429100554227 ; 28.298391068199663 , 0.6096088838904292 , 0.8703214206549169 ; 22.54315007385129 , 5.012725324259582 , 0.010611887120829387 ; 25.662975006031594 , 0.4687044752727055 , 1.328665551778755 ; 23.11887151657927 , 3.630663161157708 , -0.5500860044227646 ; 24.298041489166962 , 2.5799770214681144 , -2.7688909218214035 ; 22.718539373602308 , 1.11559284319962 , 0.423148059902741 ; 24.483131566624692 , 0.8844624181951605 , 0.025659953713340896 ; 27.347513189459914 , 0.9782341569343478 , 1.7318065056755412 ; 24.53241821969224 , 4.736758673998796 , 0.1885352378570269 ; 21.736991583973413 , 1.3478236396845804 , 0.12990074178911287 ; 24.956478681478877 , 23.62554554593628 , 0.6864399656127614 ; 25.0745181597723 , 1.4298855601677367 , 0.5375573648109848 ; 24.155730526894285 , 10.459607499642921 , -0.17028850978570306 ; 24.32640444102324 , 9.320700167512484 , 0.5849216663811673 ; 23.697035177613827 , 0.8277451257429381 , 0.20719112260001016 ; 26.688828535655084 , 0.7790280008107414 , 1.3672671522846964 ; 27.797932280563842 , 0.6406048501252691 , 0.6144126405796871 ; 23.884306808439003 , 5.029407161470387 , 1.2304203210159228 ; 22.877080195860767 , 5.056927970013966 , 1.1486702731766298 ; 24.2028200956278 , 2.721587301021771 , 0.2621226468364117 ; 26.8762562406582 , 0.7131641665323704 , 0.6898941357759073 ; 25.84102044085908 , 1.3093546477214963 , 0.3750172817641311 ; 20.865592209401683 , 4.254139668547303 , -0.8016122669719077 ; 25.285200162808408 , 1.1174900564129988 , 0.0032073672981737388 ; 23.467118056547164 , 1.7376229127216374 , 0.2885426441771838 ; 25.331677766492987 , 0.37492226994170136 , 1.4389210181421714 ; 22.38568133007121 , 6.331828164096421 , 0.7362073078111255 ; 27.581291849802994 , 0.5500789585866509 , 0.6420884480404851 ]"
安徽省,"[ 24.838025084870356 , 7.896241221044479 , 3.8739600453137415 ; 24.517711621286907 , 3.135647569283041 , 0.2989756326264266 ; 26.563568124369674 , 2.06058616278966 , 6.125676632362758 ; 25.10755334414732 , 11.40668128719776 , 1.131121914444839 ; 26.472855360235947 , 2.3505431823494436 , 6.118685561660963 ; 23.500135740307087 , 1.8697085715708293 , 0.6046487443599909 ; 23.61083368166893 , 6.833574287433017 , 0.13283251889259454 ; 25.80524439755013 , 46.94457732922986 , 0.2942340670974828 ; 25.045345626532818 , 6.598829875215767 , 0.2664670642241937 ; 24.037865714260025 , 20.678586806290372 , 0.7274600646927771 ; 23.19761436425604 , 2.649218609600953 , 1.396018025612752 ; 23.961473590114107 , 3.63503916940108 , 2.3642525380666672 ; 22.73555996105997 , 2.0800848698784007 , 0.2687854347355995 ; 22.95003019779963 , 1.8772346310954668 , 1.017274830432732 ; 22.039119609013227 , 0.8175612584711293 , 0.3529817454997347 ; 22.750473782543587 , 1.4930720533043311 , 1.044877689440478 ; 23.1277847274718 , 9.433268228632123 , 0.6034209468284439 ; 24.114073431208514 , 12.45634245542464 , 0.7720807807692307 ; 23.15749506581575 , 5.081689894480265 , 0.9526999263757432 ; 22.976921328670127 , 1.08135993634162 , 0.3762574934656393 ; 21.35216181508881 , 2.5883558432245346 , 0.454207746163609 ; 22.480347710696048 , 3.0041018171072964 , 1.1333361887359774 ; 23.974866321224194 , 7.068852538260508 , 1.2594916804339251 ; 23.35028884214621 , 0.9598734598835594 , 0.2468772244908453 ; 23.910870316367088 , 3.8434965563945735 , 0.3556796729035589 ]"
广东省,"[ 26.560519502065247 , 3.1123502626415216 , 3.421493794217568 ; 29.016101899551717 , 8.27068319757371 , 9.767406815447742 ; 26.3714486191765 , 1.905122393442845 , 0.931905987179226 ; 24.97573172493982 , 7.7196969432182945 , 1.1579407008968818 ; 23.610142323887075 , 3.294521143156289 , 1.045623439576388 ; 23.790803108543788 , 3.3778838655044434 , 1.1775388080876872 ; 26.25988377824249 , 12.50543840878972 , 0.945624299575501 ; 23.21977985977613 , 4.8743084486717985 , 1.094830326047619 ; 23.608538420730554 , 4.096031936840125 , 1.0448833551617165 ; 27.912490147000717 , 1.9815604523846448 , 7.108932375964723 ; 27.49755773074207 , 1.5278638211528213 , 3.783607620350237 ; 25.180626999240697 , 31.3189150541052 , 0.7396055073447636 ; 26.324323426513768 , 0.8649433319448661 , 1.5096940892505355 ; 26.700327138155608 , 3.8780686514941607 , 3.2707021791414714 ; 24.460710251923423 , 8.904458825841116 , 0.868666802583696 ; 26.398900163877087 , 1.5782019309516746 , 3.4507455463569388 ; 26.50286416615745 , 17.405865315597698 , 4.103198319761557 ; 23.940738402354828 , 4.327012325190172 , 0.32801413071999713 ; 25.01904536704554 , 5.3264061612376885 , 0.10715344851347976 ; 24.69488171339067 , 0.7732023257931763 , 1.4605720921475194 ; 24.0919378956776 , 9.227408787640794 , 0.26797659985322 ; 24.90671003884905 , 8.684037340436634 , 1.6243151840561023 ; 23.902825691884388 , 5.590794266442393 , 0.9018881013547951 ; 22.728286894185647 , 3.0831616131566166 , 0.4042215266316928 ; 24.071990702896976 , 2.265740570201769 , 1.510839395729901 ; 24.480648720544266 , 4.528715895741854 , 0.3344235233378781 ; 25.44740148083402 , 1.4470379653200915 , 1.037841101259869 ; 23.522487664513516 , 1.3790154192028026 , 2.8494836234370213 ; 25.968236266690198 , 1.2152790981470123 , 2.348030181836773 ; 23.58615801494299 , 4.967228001842703 , 0.956799931851685 ; 25.42345894907581 , 17.077366868477547 , 4.62193554989591 ; 24.38385980050725 , 5.8179915394883714 , 0.1119145679092421 ; 24.617738640500974 , 22.93154291784018 , 1.4944312913840847 ; 23.81447054986721 , 8.621236067064345 , 1.1668401838303968 ; 24.88409701416439 , 2.1295468425740403 , 0.16607994903687456 ; 25.373587114788194 , 0.8405846206205135 , 0.386491853814528 ; 24.645611140533372 , 10.249947909165645 , 2.416031692859056 ; 23.212765765671826 , 5.506570075504624 , 0.8684156336734111 ; 25.80098383998424 , 3.5557717824431276 , 3.0725391622175686 ; 25.022383439165143 , 8.335469391568338 , 0.6760151150517952 ; 23.00991386234219 , 4.477291950619802 , 2.324057056935632 ; 24.298145379797834 , 3.4839277210169466 , 1.3971687992187625 ; 24.12880903612148 , 5.0283350282784784 , -0.2014325650912352 ; 24.35730323965429 , 8.930718040840164 , 1.4606072547564606 ; 25.91750086081252 , 6.798479391086817 , 1.0981946271966203 ; 23.64955192440119 , 4.223486033515924 , 0.5112929045640948 ; 24.815330772204266 , 1.106652916003657 , 2.186130409170328 ; 26.03480053984545 , 4.7775196111506215 , 1.2324848377224151 ; 23.640899215082392 , 4.34024557948046 , 0.13564301417968733 ; 23.617866386441914 , 5.435236831226035 , 0.6036373038579639 ; 22.219909507381395 , 1.5159194098927633 , 0.19215737555026804 ; 25.325743037100963 , 16.626558439990575 , 0.6105991507638959 ; 25.188920682150673 , 17.39279725082879 , 3.897888866867044 ; 23.04270753479436 , 3.38137624429626 , 0.7611794752112215 ; 25.27304329993677 , 1.1544319972045505 , 0.8778686454983677 ; 24.105492017257827 , 13.23971519738822 , 1.2044275680678165 ; 24.689998563035374 , 1.2465048375772454 , 1.824284101731704 ; 23.78600433305752 , 0.9100568385935252 , 0.8708970079777213 ; 23.90445099302273 , 7.3291187030293266 , 0.44287742724492457 ; 22.666776709698876 , 3.3993959617752 , 0.21702560137841764 ; 25.082333003000198 , 18.094112768120407 , 1.4678337407221145 ; 24.818529256857452 , 6.968693647834558 , 0.57474765350264 ; 21.872484306493643 , 3.6953007730461986 , 0.7220796239701636 ; 22.88242670619038 , 10.209224034121435 , 0.8938474869586851 ; 28.003202911134444 , 1.911995596164416 , 7.108932375964723 ; 23.73307499230332 , 2.9289749920898984 , 0.3190642454710166 ; 23.334928771728148 , 5.397726922533726 , 1.184171766662624 ; 23.12922847117343 , 3.7952496232541235 , 1.0325255330003544 ; 24.599285798901658 , 2.1074622606744824 , 1.8242841019961904 ; 21.27634488902501 , 1.0073845645106287 , -0.02911181714497934 ; 22.608330727770525 , 1.7999963873818834 , 0.5545218727548535 ; 26.38171536852684 , 3.2112633172323513 , 0.8864445737708031 ; 22.903534143939687 , 2.1952218898527933 , 0.01600333640954994 ; 24.877397533373607 , 5.4819845207149305 , 0.19876866854318267 ; 24.163227737977696 , 11.680413158216725 , 1.2806031557356607 ; 22.364899847596828 , 5.554567112219867 , 0.7394153180769231 ; 22.668997157670034 , 7.383410064749349 , 1.8993557402758376 ; 25.31953808735892 , 4.9983800918197785 , 1.3183514693913296 ; 23.120683541181606 , 1.5820745412441466 , 0.4128147941597934 ; 24.246982619014954 , 5.8767919589399575 , 0.6429524754059834 ; 26.008213624946237 , 3.3968374274902713 , 1.0981946271966203 ; 25.717081511169496 , 2.87318187383 , 0.3582488351769248 ; 23.913993634673663 , 5.961757261408675 , 0.5072109040947056 ; 23.113291902993808 , 2.6842583843413923 , 0.30014866780447585 ; 23.407646317635287 , 1.4169715631342792 , 0.3394320344126234 ; 22.77158586887812 , 2.761066779576612 , 0.11198477515081418 ; 23.51924331920328 , 1.9097064780823456 , 0.22061324568506885 ; 24.141889268112287 , 3.823739680382229 , 0.2740230335462368 ; 26.58775171983088 , 21.2460463394028 , 1.6938040177650908 ; 24.204807572074746 , 14.291412772023625 , 0.8908219624964571 ; 22.72073929837757 , 2.9856907015459475 , 0.3067913653830803 ; 23.909049663741282 , 7.8769661775232125 , 1.3710732407476518 ; 23.771417582615623 , 9.650392837871928 , 3.629508364532168 ; 22.610365119327604 , 3.371958982419173 , 1.2125098406851256 ; 25.605960241635213 , 1.3915876896981785 , 1.7602904086689326 ; 23.5476251439044 , 2.5693633007063843 , 1.1191474246282564 ; 22.214460607891674 , 2.1317446525952266 , 0.3467889153611111 ; 24.42793161049315 , 10.290389549540269 , 0.9224632096954288 ; 23.947516947639226 , 2.4270789624016085 , 0.44620106504665935 ; 23.490145290433446 , 5.058745223642255 , 0.6572921606055679 ; 27.58827049487579 , 1.434380444339573 , 3.717389927093075 ; 23.761739771681015 , 13.736042277229338 , 3.1243350521926536 ; 25.616722893804845 , 1.6420122459944613 , 0.16793300318511134 ; 24.787047317824268 , 1.0444344254453564 , -0.4085161501599738 ; 25.282874350654467 , 1.3367168441803052 , 0.3866161428691163 ; 21.993475592697788 , 1.4397330062127556 , 0.1482488739971904 ; 22.520100549806394 , 2.102225383780433 , 0.17523502162096602 ; 22.620732090960217 , 0.9901110685437952 , 0.6061010518774896 ; 24.335166252384766 , 4.931659712769752 , 0.4744849607785072 ; 23.342464254950126 , 3.902364228054013 , 1.9901090219077444 ; 23.844340563353896 , 3.630441914406625 , 1.5605021379009243 ; 23.796168585974 , 1.960491252343868 , 0.3603323623321579 ; 24.15316662420464 , 3.4705263542536264 , 0.28675585174282425 ; 22.31040332666101 , 3.7540279965897128 , 0.6341231811486072 ; 22.51545729427917 , 2.5780463921039303 , 0.5089225251933498 ; 23.129809569426893 , 8.51321011082574 , 1.3686675520952465 ; 24.29972794228403 , 4.04820625586182 , 0.5517831043373498 ; 23.42924969241353 , 5.368522958932727 , 0.05326275518728453 ; 23.14320613335012 , 3.3493238710511166 , 0.33038343657126473 ; 23.30447697954568 , 1.9077336541295236 , 0.5683199318478982 ; 22.66961208719577 , 2.855988937745031 , 0.462464586149869 ; 24.10231865733422 , 1.8014224940966987 , 0.344682573184987 ; 23.31303198604517 , 1.046924705143057 , 1.3162366038580464 ; 24.389163992529895 , 4.712182732152097 , 0.266854375119688 ; 23.021089951165738 , 5.169544709473674 , 0.7662178729472171 ; 22.47707521856014 , 2.3010680238495644 , 0.3355195629295685 ; 23.917090484947753 , 5.783554523677465 , 0.5527840022727273 ; 22.882762044795204 , 2.921299323583529 , 0.5249342576137732 ; 23.222319221911448 , 1.5624728825687138 , 1.0387819489483785 ; 22.632758358359474 , 1.909097948734288 , 0.5715125578900713 ; 22.577847863041796 , 0.8455365252977775 , 0.7226434916280299 ; 24.382851527377984 , 2.0481385199913142 , 0.7090545931361312 ; 22.566074652358235 , 1.77157916393119 , 0.5955345506282154 ; 25.363756064070497 , 0.6165792227436 , 0.8778685611508275 ; 23.83119024077961 , 1.1526753816168993 , 0.3198394597791676 ]"
河南省,"[ 26.3284361084911 , 11.76351570081901 , 4.892793344032381 ; 25.01953086546437 , 1.9321536292932249 , 0.09182253913737057 ; 25.680253180294482 , 8.622479579224409 , 1.6940348368151248 ; 24.797094747353093 , 22.989213892488774 , 1.73295833356663 ; 23.890631152306195 , 5.858731342982464 , 0.051441769348240005 ; 22.895551172630164 , 0.7714196469268808 , 0.6142666414048735 ; 24.42217718189186 , 4.94921450792341 , 0.910062288227784 ; 22.67045312449164 , 0.8469144905530366 , 0.80544813068311 ; 24.264332827512693 , 2.487482939493724 , 1.4135172050635352 ; 24.96366262617857 , 10.611958365257944 , 0.6968058308086025 ; 24.09977005406009 , 1.6686282442314695 , 0.6713319855754685 ]"
吉林省,"[ 25.541638037987433 , 15.3090336880682 , 9.648202085198148 ; 23.619645180816892 , 0.8138818034851756 , 0.9348400755287722 ; 22.697382520288247 , 1.1063038881078044 , 0.1961816273712504 ; 24.041862611161328 , 5.523876533641435 , 0.4007134577938229 ]"
江苏省,"[ 26.785150249205362 , 17.323019664007404 , 1.2325846623123593 ; 23.256458453343807 , 1.1657678729653396 , 0.29368948688185303 ; 24.468077823856696 , 4.892487160364398 , 0.44285107311719496 ; 24.574243980639697 , 6.429935410678473 , -0.3435345119817204 ; 24.482228567839307 , 5.9536923054567 , 1.1136313264886408 ; 23.676016646198068 , 1.1319383494485973 , 0.674255068697199 ; 24.16245068698571 , 1.4534804577767484 , 1.1432451906932677 ; 22.956929484474035 , 6.868938233116106 , 4.785916695576923 ; 22.55769736314532 , 2.1244583477368835 , 0.28575698774020425 ; 24.262429514090318 , 8.038474021932538 , 0.7555247028386655 ; 25.862218148868017 , 9.88067173291983 , 1.0726699649343834 ; 25.24981281785694 , 3.0284910011648267 , 0.9394927655107852 ; 22.93398975341113 , 0.8864686338110411 , 0.38522191886193546 ; 25.76433807466465 , 1.3570070916833534 , 1.0036816643640551 ; 25.73674735776045 , 4.120305129840315 , 4.88671861746079 ; 25.813043796039285 , 11.375873393472475 , 0.779303330702794 ; 24.12054748394043 , 6.116922826616777 , 2.8210006463321324 ; 23.10761672332879 , 1.867853715875322 , 0.4454776717519877 ; 24.893799537526053 , 38.018749502923605 , 6.0720325251 ; 24.337358178548858 , 7.6393754104861396 , 0.4939500247215291 ; 24.48047679978582 , 3.3917277533313084 , 0.16780346521253495 ; 22.2534714213202 , 5.468831882711218 , 0.6100871763946543 ; 23.92079095702457 , 9.887576365292496 , 2.1526476230688467 ; 24.49246997102296 , 14.611717182057747 , 0.9192913352115792 ; 23.55046915693441 , 1.2147530438358631 , 0.5042402856733075 ; 23.94125534532016 , 4.941828515701063 , 4.158134135594096 ; 22.131884131794454 , 1.7646128303149218 , 0.9062064604297252 ; 25.075534715361144 , 0.8938071841711943 , 1.287466488241361 ; 24.651872236275228 , 1.8617811554593904 , 0.6218140620426093 ; 22.430573927772283 , 1.1933505551294834 , 0.2657525371980737 ; 22.465389990881416 , 3.3543583641423 , 0.714578758852941 ; 23.227898029321896 , 16.519917535508963 , 1.0136770313891752 ; 22.993909075553088 , 1.1479258456373505 , 0.8974061643927683 ; 23.91817824629227 , 12.294355373789713 , 0.7273944117465796 ; 24.971185249293665 , 0.5268352061296285 , 1.3082549060361093 ; 22.957064549811268 , 5.1657431965916505 , 0.03439571364904296 ; 21.912036539651016 , 4.906073848481288 , 0.3341159548999983 ; 23.055021307240235 , 5.192869091475207 , 2.597668089666666 ; 22.866449708294525 , 3.2343169596674466 , 0.8466631796909087 ; 24.06614082706203 , 4.631094433114097 , 0.05256146380253749 ; 24.558342578229325 , 5.198188325303446 , 0.4057882483162489 ; 22.515025306174465 , 5.124711391079819 , 1.461588422875 ; 24.899603204165658 , 11.66360194939768 , 1.4933528047505669 ; 24.14988775646132 , 1.5263937268736645 , 0.20496089224054875 ; 22.41838691072631 , 1.3977223886176464 , 0.3716974135802405 ; 25.952930913001737 , 9.406225719624837 , 1.0726694573354898 ; 22.938657718238076 , 3.4948213564363066 , 0.6219717395466667 ; 23.795600807739948 , 5.164441011858826 , 0.4473507365882113 ; 24.280802009793447 , 5.778145842057997 , 0.8863968163400996 ; 23.05242524548514 , 8.780463767300947 , 0.9012107552411136 ; 21.924711450614403 , 4.926672859898414 , 1.1876880712871287 ; 22.15914474719986 , 4.238241006502099 , 1.1057612799537189 ; 24.57923693678372 , 9.208014030037091 , 0.7290775932195448 ; 22.786471070771658 , 2.295591055783091 , 0.2950974118032222 ; 23.70566622376378 , 1.2500237238442378 , 2.1099584550509745 ; 23.42826224967971 , 8.409633413962206 , 0.3412180177087016 ; 21.93231078220177 , 1.5165723430302316 , 0.5272366033869788 ]"
内蒙古自治区,"[ 25.90830088394825 , 6.834010845121071 , 0.9563070916789721 ; 23.535247937567192 , 1.8131485850987992 , 0.3444489647474483 ; 24.089030723088232 , 6.230668749307427 , 0.1890424962536923 ; 23.45959474291955 , 0.9555312314627041 , 1.3795140741567256 ; 24.1906038444258 , 3.54250029580972 , 0.4881295089768354 ]"
山东省,"[ 23.93043381296064 , 6.388424798589172 , 0.8131151047083565 ; 23.90665300549839 , 2.470715709123679 , 1.5382504445416565 ; 24.596618114298554 , 5.536675075526767 , 0.9122149468745756 ; 22.263409692981934 , 5.527685374210017 , 0.4730990519155303 ; 23.99981956725845 , 2.40208884704312 , 1.4622304359084202 ; 24.619177779402488 , 1.6167077582571732 , 1.2074618047457737 ; 24.06856093456597 , 1.9934344319157133 , 1.3772793849297615 ; 23.37463187562898 , 2.941372784366107 , 0.5824778928245405 ; 24.84452270915205 , 6.196437079029678 , 0.6751009953772183 ; 23.82737028863069 , 1.5275616699571897 , 0.9005000580853307 ; 23.87433468747716 , 6.396308896672956 , 0.5146672379921886 ; 25.71393196444953 , 3.470730014119768 , 2.774513331436573 ; 24.086859269787197 , 8.902462719191028 , 1.0319383901417962 ; 25.30933246131188 , 2.041316062514435 , 1.0852252794323745 ; 22.633842011898714 , 1.8941547706778088 , 0.4013167253867685 ; 23.84881564026575 , 7.805753147991383 , 0.8096582383793557 ; 21.971380943727425 , 1.6952106807228702 , 1.1819018165612625 ; 25.44763860703354 , 2.52275905038656 , 1.081165599597673 ; 24.93344127816907 , 4.18250906663993 , 0.4226185592838211 ; 25.474023004836663 , 2.7277679463734392 , 0.4830107612655907 ; 23.32664337834438 , 3.1470280237061363 , 0.20451373936196696 ; 23.71406209822327 , 5.931730004026973 , 0.161584487435632 ; 23.571280126251803 , 2.468594979778812 , 1.7514353409306298 ; 22.57431541848279 , 1.931680194292556 , 2.170740533072789 ; 23.327110951218337 , 23.50218334990571 , 0.8211495783417294 ; 24.956175481308343 , 3.901107561048159 , 1.170816532123194 ; 25.383310240702944 , 4.892244251880997 , 0.4797470088859184 ; 23.554585068981552 , 4.712333264640477 , 2.0276147510357947 ; 23.45172177085187 , 1.0501158649911155 , 0.4437662829524351 ; 22.432557045020804 , 1.8911021662105123 , 0.8545264494618492 ; 23.723239174524647 , 2.013548939366753 , -1.4081543269117145 ; 21.752073496169785 , 1.7656724599778777 , 0.2778801985211572 ; 21.693405249665254 , 20.03211355135522 , 0.1063246252304098 ; 23.099844609848784 , 1.0692199782458125 , 1.069108036375 ; 21.36706047889656 , 1.5356470088763958 , -0.2674798641854598 ; 22.781933603094085 , 1.9279530347315184 , 0.5245913896336513 ; 24.74026562131182 , 3.073582177620493 , 0.40794945347320294 ; 22.708711761388997 , 0.9219878363180212 , 1.0030413957059725 ; 22.038490784011763 , 1.926126241519456 , 0.9761874697451408 ; 24.569764235213928 , 10.291269915525401 , 1.2217423189166667 ; 23.08185666581345 , 4.436892831590402 , 1.5425914465253456 ; 23.46809114149005 , 1.8245509756840352 , 1.322438139712662 ; 24.158107047741108 , 0.4400109756019665 , 0.7111702257607051 ; 22.57178100133691 , 3.668327642517336 , 0.9804348724628276 ; 25.538351371167263 , 2.34784188499303 , 1.0811655996203604 ; 23.202753848793307 , 1.6886512177324986 , 0.4751311974480413 ]"
云南省,"[ 23.54117644296132 , 1.9997089447677228 , 0.3631690932019523 ; 25.484324872460594 , 3.0805348168347684 , 3.6163312746196654 ; 24.52499651445412 , 9.839177005371528 , 0.9632430472861586 ; 23.41340226458135 , 3.206513693267953 , 1.115553462362394 ; 22.648714994564966 , 0.9728767141772909 , 0.040246737918390715 ; 24.90500205472386 , 13.458837293956671 , 0.05447569676780977 ]"
辽宁省,"[ 23.287195574864874 , 3.1091988306544964 , -0.3709264029164497 ; 21.487486613543812 , 2.317666633638007 , 0.4889444947724855 ; 22.797348612532293 , 1.1938619002279942 , 0.02665703634568976 ; 24.40017550778409 , 3.0653864881887536 , 0.4973233793435122 ; 25.323753788101737 , 2.7394617112424045 , 1.6568632441986524 ; 24.223057447379805 , 8.845103488199001 , 1.148349131348488 ]"
