证券代码,证券简称,"任职期限最长的现任基金经理
[名次] 第1名","重仓股股票代码
[报告期] 去年年报
[名次] 第1名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第1名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第2名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第2名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第3名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第3名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第4名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第4名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第5名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第5名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第6名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第6名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第7名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第7名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第8名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第8名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第9名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第9名
[单位] %","重仓股股票代码
[报告期] 去年年报
[名次] 第10名↑","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第10名
[单位] %"
001577.OF,嘉实低价策略,李帅,601318,8.6761 ,600036,8.2663 ,002048,6.1039 ,000002,5.8080 ,002120,4.0918 ,001979,3.2500 ,603659,3.1697 ,000725,3.0728 ,000550,3.0358 ,000100,3.0254 
000778.OF,鹏华先进制造,袁航,600031,10.9529 ,600519,9.8997 ,600887,7.4654 ,000002,6.8474 ,000858,6.7429 ,300003,6.5350 ,601318,6.2757 ,000338,6.0695 ,600529,5.6144 ,300760,5.4287 
001705.OF,泓德战略转型,秦毅,601012,8.1430 ,603338,7.8021 ,601318,7.6642 ,000002,4.8677 ,300750,4.7558 ,002202,4.4607 ,600438,4.0843 ,300188,3.7809 ,603659,3.7545 ,601233,3.5886 
001677.OF,中银战略新兴产业,钱亚风云,600519,9.1446 ,601888,8.9807 ,600036,8.4624 ,000002,7.5468 ,000661,7.0340 ,000333,6.7107 ,600887,5.9560 ,300760,5.1867 ,002555,4.9546 ,603517,4.9334 
001714.OF,工银瑞信文体产业,袁芳,600031,5.1207 ,000651,4.6204 ,300750,3.9256 ,000002,3.5122 ,600183,3.3950 ,300747,3.1347 ,601088,3.0185 ,002938,3.0165 ,002138,2.7077 ,688111,2.4639 
001520.OF,国投瑞银研究精选,桑俊,601318,6.2908 ,600030,4.5112 ,601939,4.0313 ,000063,3.6441 ,600036,3.3964 ,600048,3.3402 ,600519,3.2347 ,600837,3.1126 ,000001,2.7805 ,000338,2.5196 
006868.OF,华夏科技成长,张帆,002705,10.6586 ,300782,4.8974 ,300226,4.6497 ,000063,4.3582 ,002419,4.1308 ,300450,3.8485 ,002185,3.6076 ,002371,3.5589 ,002475,3.5403 ,002384,3.4620 
000549.OF,华安大国新经济,翁启森,000977,5.7759 ,603068,4.3596 ,300316,3.2778 ,000063,3.0191 ,002531,2.6558 ,600745,2.3591 ,601138,2.3440 ,601231,2.2590 ,603799,2.0998 ,300498,1.9356 
001028.OF,华安物联网主题,翁启森,000977,5.7501 ,603068,4.2061 ,300316,3.2055 ,000063,2.9206 ,002531,2.6120 ,600745,2.3775 ,601138,2.0559 ,603799,2.0408 ,300144,1.9751 ,300498,1.9185 
007590.OF,华宝绿色领先,蔡目荣,002202,8.3337 ,002531,8.3091 ,002127,7.8184 ,000063,5.2596 ,002415,4.3874 ,601688,4.3304 ,300443,4.2462 ,002709,4.2195 ,300232,3.5670 ,603103,3.5499 
001039.OF,嘉实先进制造,张淼,300369,7.4374 ,600529,7.1615 ,601799,6.6200 ,000100,4.3054 ,002475,3.9544 ,000063,3.9541 ,300271,3.8000 ,002430,3.7268 ,300012,3.2710 ,002643,3.1803 
007685.OF,华商电子行业量化,邓默,000725,10.1597 ,002475,8.5162 ,603986,4.6795 ,000100,4.3359 ,002415,4.3221 ,002236,3.7873 ,002241,3.6790 ,600703,2.6188 ,603160,2.5697 ,300408,2.5379 
005496.OF,创金合信科技成长C,周志敏,000725,4.6078 ,600584,3.5572 ,000063,3.2799 ,000100,3.2637 ,002475,3.1919 ,002185,3.0905 ,002156,3.0098 ,601138,2.8209 ,300750,2.7330 ,601231,2.7154 
005495.OF,创金合信科技成长A,周志敏,000725,4.6078 ,600584,3.5572 ,000063,3.2799 ,000100,3.2637 ,002475,3.1919 ,002185,3.0905 ,002156,3.0098 ,601138,2.8209 ,300750,2.7330 ,601231,2.7154 
000628.OF,大成高新技术产业,刘旭,600887,8.2586 ,600690,8.2155 ,600519,8.0058 ,000333,7.9087 ,600048,7.8587 ,603337,7.7777 ,002415,7.7734 ,300144,7.5580 ,600036,7.2672 ,000651,4.9853 
000925.OF,汇添富外延增长主题,王栩,600036,6.8490 ,601888,6.4845 ,002044,6.4595 ,000333,5.5490 ,600519,5.4337 ,002127,5.3844 ,601318,5.2761 ,300144,4.4643 ,000651,4.0745 ,002311,3.7685 
540009.OF,汇丰晋信消费红利,是星涛,000625,7.4357 ,600519,6.7892 ,000651,6.2832 ,000333,5.3065 ,002236,4.7665 ,000977,3.7153 ,000799,3.4488 ,002304,3.3002 ,000581,3.0088 ,002415,2.9522 
006726.OF,农银汇理稳进多因子,魏刚,600519,4.9846 ,601318,4.9443 ,600036,4.8203 ,000333,4.5622 ,600030,3.6152 ,600276,3.5136 ,002475,3.1723 ,000858,2.9936 ,601818,2.1144 ,300059,1.9026 
004858.OF,长信量化多策略C,左金保,601318,5.1608 ,600036,5.0413 ,601166,4.3019 ,000333,4.1319 ,600276,3.6196 ,000002,3.3939 ,002475,3.2267 ,600519,2.8885 ,000001,2.7494 ,300498,2.6755 
519965.OF,长信量化多策略A,左金保,601318,5.1608 ,600036,5.0413 ,601166,4.3019 ,000333,4.1319 ,600276,3.6196 ,000002,3.3939 ,002475,3.2267 ,600519,2.8885 ,000001,2.7494 ,300498,2.6755 
004485.OF,泰达宏利业绩驱动C,刘洋,601318,5.1672 ,600519,4.5929 ,600030,3.5461 ,000333,3.2417 ,600276,3.0670 ,600887,3.0333 ,000651,3.0066 ,601166,2.9817 ,601766,2.6366 ,600016,2.5782 
004484.OF,泰达宏利业绩驱动A,刘洋,601318,5.1672 ,600519,4.5929 ,600030,3.5461 ,000333,3.2417 ,600276,3.0670 ,600887,3.0333 ,000651,3.0066 ,601166,2.9817 ,601766,2.6366 ,600016,2.5782 
001048.OF,富国新兴产业,魏伟,002120,9.2047 ,600031,9.1658 ,000961,9.0587 ,000338,8.9970 ,600048,7.6659 ,000002,7.1727 ,000951,6.0026 ,600486,5.1085 ,002127,4.3704 ,601939,3.9507 
000979.OF,景顺长城沪港深精选,鲍无可,0968,8.8793 ,600674,8.4897 ,0006,8.1510 ,0386,7.4686 ,0388,7.4190 ,002727,7.2489 ,002353,6.7016 ,601098,6.4393 ,1109,5.7678 ,603233,5.7604 
001685.OF,汇添富沪港深新价值,杨威风,0914,5.8038 ,2269,5.7414 ,0700,5.5392 ,0388,5.4634 ,2318,5.1662 ,1398,4.6913 ,3968,4.6566 ,2883,4.5376 ,2359,4.1946 ,1797,4.0166 
002333.OF,汇丰晋信沪港深C,程彧,0700,9.1492 ,002475,9.1352 ,3690,6.9838 ,0522,4.7845 ,0763,4.1091 ,1299,3.9902 ,2208,3.5057 ,0939,3.4020 ,600519,3.3437 ,0968,2.5842 
002332.OF,汇丰晋信沪港深A,程彧,0700,9.1492 ,002475,9.1352 ,3690,6.9838 ,0522,4.7845 ,0763,4.1091 ,1299,3.9902 ,2208,3.5057 ,0939,3.4020 ,600519,3.3437 ,0968,2.5842 
001528.OF,诺安先进制造,韩冬燕,601398,9.9786 ,600887,8.3567 ,002236,5.3632 ,000538,5.3004 ,603816,5.0325 ,000725,4.9961 ,600050,4.9235 ,000869,4.8714 ,600066,4.8130 ,601012,4.7928 
005669.OF,前海开源公用事业,史程,600900,10.8333 ,600009,7.7546 ,1193,7.5311 ,0548,7.3771 ,300012,7.3220 ,600236,7.2041 ,600886,6.7659 ,601139,5.7677 ,0941,5.7627 ,0270,5.7363 
160127.OF,南方新兴消费增长,肖勇,000651,10.4198 ,600519,10.0226 ,000858,9.9699 ,000568,8.8676 ,000333,8.7414 ,002311,5.6840 ,601799,5.6691 ,002714,5.3084 ,000596,4.0735 ,002078,3.4598 
003634.OF,嘉实农业产业,姚爽,002311,9.1269 ,000895,7.9550 ,000858,7.4295 ,000568,7.2636 ,002746,7.2224 ,600519,6.8991 ,300498,6.8832 ,000876,5.3398 ,002100,5.2613 ,002299,4.9866 
006347.OF,安信量化优选C,施荣盛,000913,1.0122 ,300440,1.0074 ,600532,1.0062 ,000573,1.0052 ,300251,1.0050 ,002248,1.0021 ,000006,1.0020 ,000708,1.0012 ,002457,0.9999 ,600693,0.9922 
006346.OF,安信量化优选A,施荣盛,000913,1.0122 ,300440,1.0074 ,600532,1.0062 ,000573,1.0052 ,300251,1.0050 ,002248,1.0021 ,000006,1.0020 ,000708,1.0012 ,002457,0.9999 ,600693,0.9922 
167706.OF,德邦量化新锐C,王本昌,600565,2.1270 ,300016,1.5371 ,601003,1.4243 ,000600,1.4071 ,601058,1.3789 ,300315,1.3710 ,000528,1.3437 ,002463,1.3188 ,300347,1.3044 ,601717,1.2474 
167705.OF,德邦量化新锐A,王本昌,600565,2.1270 ,300016,1.5371 ,601003,1.4243 ,000600,1.4071 ,601058,1.3789 ,300315,1.3710 ,000528,1.3437 ,002463,1.3188 ,300347,1.3044 ,601717,1.2474 
004189.OF,华商消费行业,何奇峰,600519,9.8385 ,000858,9.7345 ,000333,9.4951 ,000651,9.4536 ,300630,8.7930 ,600887,7.3764 ,603707,7.3134 ,002714,6.5474 ,600809,5.9680 ,000568,5.7671 
007134.OF,嘉实长青竞争优势C,龙昌伦,603444,2.5525 ,000568,2.2570 ,600486,2.2420 ,000651,2.1897 ,002236,2.1842 ,600886,2.1341 ,601336,2.0779 ,600801,2.0649 ,000596,2.0504 ,002007,2.0323 
007133.OF,嘉实长青竞争优势A,龙昌伦,603444,2.5525 ,000568,2.2570 ,600486,2.2420 ,000651,2.1897 ,002236,2.1842 ,600886,2.1341 ,601336,2.0779 ,600801,2.0649 ,000596,2.0504 ,002007,2.0323 
000974.OF,安信消费医药主题,陈一峰,002508,10.5985 ,600048,10.5534 ,601668,10.3162 ,000651,10.1025 ,603589,8.1672 ,600612,8.1495 ,000661,6.8528 ,600690,6.4294 ,002624,5.7060 ,002035,5.3719 
002595.OF,博时工业4.0,兰乔,000708,8.5345 ,300207,6.8219 ,000338,6.7374 ,000651,5.7756 ,601100,5.5376 ,000725,4.2784 ,600519,4.1344 ,300618,3.5992 ,300573,3.5196 ,002460,3.4874 
000751.OF,嘉实新兴产业,归凯,300012,6.7261 ,600763,5.6849 ,000063,4.8561 ,000651,4.5714 ,300760,4.4650 ,300124,4.2098 ,002410,4.0992 ,000100,4.0713 ,601799,3.9115 ,300357,3.8039 
006605.OF,嘉实消费精选C,吴越,000568,11.4166 ,000858,11.2309 ,600519,11.1103 ,000651,10.7682 ,002311,6.9737 ,0291,6.7009 ,600887,5.2865 ,000333,4.5240 ,601799,4.3645 ,3690,4.0707 
006604.OF,嘉实消费精选A,吴越,000568,11.4166 ,000858,11.2309 ,600519,11.1103 ,000651,10.7682 ,002311,6.9737 ,0291,6.7009 ,600887,5.2865 ,000333,4.5240 ,601799,4.3645 ,3690,4.0707 
006194.OF,鑫元核心资产C,丁玥,601318,7.0823 ,600519,4.4378 ,600036,3.0064 ,000651,2.3915 ,000333,2.2665 ,000858,2.0655 ,600276,2.0081 ,601288,1.7860 ,000001,1.7580 ,600000,1.6781 
006193.OF,鑫元核心资产A,丁玥,601318,7.0823 ,600519,4.4378 ,600036,3.0064 ,000651,2.3915 ,000333,2.2665 ,000858,2.0655 ,600276,2.0081 ,601288,1.7860 ,000001,1.7580 ,600000,1.6781 
001496.OF,工银瑞信聚焦30,王筱苓,002142,9.7921 ,600519,5.9381 ,600276,5.5141 ,000651,5.3368 ,600048,4.6924 ,600030,4.5921 ,601318,4.4903 ,603096,4.3679 ,000858,4.3585 ,600600,4.0691 
006478.OF,长盛多因子策略优选,冯雨生,601318,8.4759 ,600031,8.4551 ,600519,8.2131 ,000651,7.1547 ,000858,7.0907 ,000333,6.9327 ,603288,6.2982 ,600009,6.2480 ,000157,5.2996 ,600779,4.6193 
003145.OF,中融竞争优势,柯海东,002695,9.6365 ,600984,8.2676 ,300122,5.4811 ,000651,5.4483 ,300406,5.1835 ,000725,4.6707 ,000776,4.1677 ,002812,3.9911 ,600703,3.8155 ,603799,3.7629 
000955.OF,南方产业活力,蒋秋洁,600519,6.5541 ,300413,6.3626 ,000858,6.2685 ,000661,6.0568 ,601888,5.5131 ,002714,4.6545 ,000651,4.2831 ,002027,4.2749 ,600872,3.6614 ,002415,3.4880 
001245.OF,工银瑞信生态环境,何肖颉,601601,7.4743 ,002142,5.5186 ,601012,5.2592 ,000661,3.9334 ,601318,3.5094 ,000333,3.4877 ,002138,3.4352 ,600048,3.3043 ,002179,3.2889 ,300003,2.6004 
000711.OF,嘉实医疗保健,齐海滔,600529,10.0996 ,000028,10.0557 ,000513,8.9587 ,000661,8.9129 ,000963,8.3309 ,600867,8.0739 ,600380,6.8663 ,600276,6.6733 ,300357,6.1263 ,600196,6.1153 
004075.OF,交银医药创新,楼慧源,600276,8.8251 ,603259,6.9471 ,600529,6.8685 ,000661,6.2882 ,600763,5.7591 ,603882,4.7650 ,300601,4.7495 ,300347,4.6833 ,300015,4.6314 ,688029,3.8482 
002872.OF,华夏智胜价值成长C,孙蒙,603806,2.1722 ,002818,2.0689 ,300660,1.9866 ,000719,1.9856 ,600551,1.9825 ,002724,1.9728 ,603699,1.8531 ,300360,1.8119 ,002111,1.8112 ,300546,1.7621 
002871.OF,华夏智胜价值成长A,孙蒙,603806,2.1722 ,002818,2.0689 ,300660,1.9866 ,000719,1.9856 ,600551,1.9825 ,002724,1.9728 ,603699,1.8531 ,300360,1.8119 ,002111,1.8112 ,300546,1.7621 
001707.OF,诺安高端制造,史高飞,000035,10.8136 ,300220,10.7102 ,600176,10.6354 ,000723,10.5988 ,600673,10.1572 ,300449,9.6860 ,603021,7.3251 ,000667,6.0204 ,603712,5.3426 ,603611,4.7241 
000418.OF,景顺长城成长之星,刘晓明,002475,9.2862 ,002714,8.0483 ,300115,7.8202 ,000725,5.3435 ,000401,4.6388 ,600519,4.4465 ,000651,4.3050 ,002241,3.8968 ,603456,3.7664 ,300122,3.6376 
001638.OF,前海开源优势蓝筹C,吴国清,601901,9.4429 ,600999,8.4137 ,600837,8.1842 ,000776,8.1732 ,600030,8.1503 ,300059,7.8669 ,601211,7.8400 ,601881,7.8274 ,000166,7.6596 ,600547,6.7184 
001162.OF,前海开源优势蓝筹A,吴国清,601901,9.4429 ,600999,8.4137 ,600837,8.1842 ,000776,8.1732 ,600030,8.1503 ,300059,7.8669 ,601211,7.8400 ,601881,7.8274 ,000166,7.6596 ,600547,6.7184 
004476.OF,景顺长城沪港深领先科技,詹成,0968,5.8331 ,0700,5.7773 ,0388,5.5674 ,0788,4.6018 ,3690,4.2531 ,002555,3.7601 ,600438,3.4408 ,300207,3.3132 ,2382,3.2866 ,0268,3.2514 
005457.OF,景顺长城量化小盘,黎海威,300130,2.8664 ,000036,2.7632 ,002539,2.7563 ,000829,2.6359 ,300034,2.6065 ,002441,2.6061 ,600720,2.5600 ,000739,2.5535 ,600971,2.5473 ,002088,2.4844 
110022.OF,易方达消费行业,萧楠,000651,11.3580 ,000333,11.3155 ,600519,11.2034 ,000858,11.1927 ,000568,10.2847 ,000860,9.9306 ,000596,9.5422 ,600809,9.1780 ,600887,3.0476 ,000423,2.2438 
004995.OF,广发品牌消费,孙迪,600519,10.3172 ,000651,7.7473 ,000568,6.6419 ,000858,6.3923 ,000333,5.5206 ,300144,5.1226 ,000100,5.0716 ,601888,4.9923 ,601966,4.9705 ,000860,4.9573 
003191.OF,创金合信消费主题C,陈建军,000876,9.7425 ,600519,9.5415 ,002714,9.3882 ,000858,9.3024 ,300144,9.2433 ,000333,9.0681 ,000568,8.8587 ,000651,8.0210 ,600887,6.6147 ,002901,4.0400 
003190.OF,创金合信消费主题A,陈建军,000876,9.7425 ,600519,9.5415 ,002714,9.3882 ,000858,9.3024 ,300144,9.2433 ,000333,9.0681 ,000568,8.8587 ,000651,8.0210 ,600887,6.6147 ,002901,4.0400 
007548.OF,易方达ESG责任投资,郭杰,0700,10.8894 ,3690,10.6017 ,600519,10.1308 ,000858,9.2219 ,000568,9.0616 ,600009,8.7681 ,002304,8.4165 ,000651,8.1638 ,600004,7.1006 ,2269,6.6710 
005009.OF,申万菱信行业轮动,蒲延杰,600519,9.0222 ,601318,6.6382 ,002475,6.2360 ,000858,5.8634 ,300014,5.6614 ,600438,5.3518 ,300115,4.6009 ,300136,4.4210 ,603986,3.7781 ,300750,3.6849 
001277.OF,博时国企改革主题,林景艺,000157,2.3955 ,000708,1.9218 ,600048,1.8216 ,000858,1.6353 ,600919,1.5944 ,000425,1.5669 ,600383,1.5367 ,600809,1.4475 ,600346,1.4285 ,600030,1.3501 
004805.OF,长信消费精选行业量化,左金保,000333,8.2703 ,603369,5.8986 ,000596,5.8340 ,000858,5.4237 ,300122,5.3288 ,000651,5.0668 ,002311,5.0220 ,000661,4.7966 ,000568,4.4907 ,600570,4.4541 
006251.OF,银华兴盛,薄官辉,600887,10.4101 ,600519,10.2915 ,600570,8.0802 ,000858,7.5946 ,600600,7.1956 ,002508,6.3725 ,000002,6.1045 ,601166,5.9717 ,002705,4.8370 ,601668,4.1192 
006924.OF,前海开源沪港深非周期C,史程,0700,7.5239 ,0168,5.2433 ,0883,5.1922 ,000860,4.7668 ,6808,4.7325 ,2319,4.7325 ,000858,4.6027 ,0291,4.3168 ,1193,4.2868 ,2688,4.2642 
006923.OF,前海开源沪港深非周期A,史程,0700,7.5239 ,0168,5.2433 ,0883,5.1922 ,000860,4.7668 ,6808,4.7325 ,2319,4.7325 ,000858,4.6027 ,0291,4.3168 ,1193,4.2868 ,2688,4.2642 
006676.OF,宝盈品牌消费C,肖肖,000596,11.8827 ,002714,11.6948 ,000876,11.3417 ,000860,10.3498 ,000858,9.9859 ,600519,9.9333 ,600872,9.8216 ,1579,9.2337 ,601658,7.4886 ,2869,5.5223 
006675.OF,宝盈品牌消费A,肖肖,000596,11.8827 ,002714,11.6948 ,000876,11.3417 ,000860,10.3498 ,000858,9.9859 ,600519,9.9333 ,600872,9.8216 ,1579,9.2337 ,601658,7.4886 ,2869,5.5223 
007288.OF,合煦智远消费主题C,程卉超,002572,11.4459 ,600887,8.7636 ,002027,7.6427 ,0874,7.2727 ,000895,7.2657 ,1999,6.8709 ,002035,6.8240 ,1112,5.2905 ,0921,4.6699 ,603801,4.2652 
007287.OF,合煦智远消费主题A,程卉超,002572,11.4459 ,600887,8.7636 ,002027,7.6427 ,0874,7.2727 ,000895,7.2657 ,1999,6.8709 ,002035,6.8240 ,1112,5.2905 ,0921,4.6699 ,603801,4.2652 
002697.OF,中欧消费主题C,郭睿,601888,9.8851 ,603708,9.2442 ,000651,9.0564 ,000876,8.9918 ,002714,8.0198 ,002624,6.4481 ,600519,6.3842 ,603345,6.0092 ,002127,5.8384 ,603429,5.6621 
002621.OF,中欧消费主题A,郭睿,601888,9.8851 ,603708,9.2442 ,000651,9.0564 ,000876,8.9918 ,002714,8.0198 ,002624,6.4481 ,600519,6.3842 ,603345,6.0092 ,002127,5.8384 ,603429,5.6621 
001579.OF,国泰大农业,程洲,600519,6.3285 ,300498,6.1257 ,002311,5.1658 ,000895,5.1410 ,002714,4.6892 ,000876,4.4225 ,603288,4.3738 ,600201,4.0058 ,002250,3.8695 ,600597,3.7255 
001749.OF,招商中国机遇,李亚,000860,7.8673 ,300496,6.1336 ,300369,5.8129 ,000938,5.1117 ,600030,5.0818 ,002271,4.9886 ,300529,4.8711 ,300122,4.7236 ,002273,4.6843 ,601899,4.1915 
007512.OF,工银瑞信沪港深C,张继圣,0700,9.0576 ,1299,7.9169 ,2318,7.1564 ,0939,6.8695 ,3968,3.5507 ,3690,3.4717 ,2601,2.9909 ,2018,2.5060 ,2313,2.1297 ,000651,1.9085 
002387.OF,工银瑞信沪港深A,张继圣,0700,9.0576 ,1299,7.9169 ,2318,7.1564 ,0939,6.8695 ,3968,3.5507 ,3690,3.4717 ,2601,2.9909 ,2018,2.5060 ,2313,2.1297 ,000651,1.9085 
001718.OF,工银瑞信物流产业,张宇帆,600104,8.5778 ,000625,6.3731 ,603960,6.1392 ,000951,5.4881 ,600741,5.3101 ,300124,4.4223 ,002475,4.3764 ,600660,4.0335 ,600009,3.9287 ,601633,3.9230 
001490.OF,汇添富国企创新增长,李威,600519,10.2840 ,002127,9.3039 ,000858,5.6362 ,000961,5.4422 ,601888,4.8987 ,601166,3.6041 ,000661,3.5923 ,600036,3.5295 ,601318,3.3669 ,002050,3.3014 
001042.OF,华夏领先,林晶,601128,2.2593 ,300451,2.1696 ,601100,2.1148 ,000961,1.9418 ,600346,1.9362 ,000671,1.9252 ,002384,1.7642 ,300782,1.7048 ,000338,1.5667 ,600570,1.4894 
540007.OF,汇丰晋信中小盘,侯玉琦,002555,7.5411 ,603444,6.5150 ,002624,6.1934 ,000977,4.6927 ,002236,4.4600 ,300031,4.3600 ,601555,4.2986 ,002821,4.0177 ,002139,3.9267 ,300413,3.7063 
005707.OF,富国港股通量化精选,徐幼华,0700,9.6496 ,0005,8.9835 ,0939,6.7821 ,1299,5.4758 ,2318,3.7492 ,0941,2.9626 ,2628,2.4677 ,0883,2.4386 ,2601,2.0995 ,1658,1.8890 
006781.OF,汇丰晋信港股通精选,程彧,0700,9.6929 ,0939,4.9954 ,1398,3.9743 ,1299,3.7977 ,2318,3.5253 ,0522,3.5225 ,3690,3.1961 ,1999,3.1122 ,2018,2.9335 ,1810,2.9284 
004292.OF,鹏华沪深港互联网,聂毅翔,600519,11.9404 ,0700,10.3921 ,2388,8.8495 ,1299,8.7694 ,3690,7.1599 ,001914,6.7874 ,1521,5.9602 ,1797,5.3934 ,300750,5.1855 ,1951,4.8182 
006106.OF,景顺长城量化港股通,黎海威,0700,9.7221 ,0939,6.2214 ,0005,5.4221 ,1299,3.8067 ,2628,2.9484 ,0941,2.5402 ,0006,2.4676 ,0386,2.3856 ,0914,2.3308 ,3328,2.3283 
002121.OF,广发沪港深新起点,李耀柱,1918,9.2924 ,3690,8.9145 ,0700,8.7164 ,1299,7.5093 ,0027,5.8324 ,2313,5.3743 ,000002,5.2285 ,1088,4.6869 ,2018,4.4608 ,600703,4.4588 
004098.OF,前海开源股息率50强,史程,0548,4.3366 ,2318,4.2869 ,0941,4.0651 ,1398,3.7237 ,0883,3.5189 ,0522,3.3544 ,1928,3.2311 ,1299,3.1729 ,3968,3.1070 ,3988,3.1000 
005238.OF,银华医疗健康C,马君,600276,7.8719 ,000661,7.2182 ,300760,6.1151 ,002007,4.1867 ,300601,4.0089 ,300015,3.9839 ,603259,3.3904 ,600436,3.0711 ,300529,3.0111 ,603883,2.9044 
005237.OF,银华医疗健康A,马君,600276,7.8719 ,000661,7.2182 ,300760,6.1151 ,002007,4.1867 ,300601,4.0089 ,300015,3.9839 ,603259,3.3904 ,600436,3.0711 ,300529,3.0111 ,603883,2.9044 
004698.OF,博时军工主题,兰乔,600760,9.8268 ,600967,9.4249 ,600038,8.3477 ,002013,7.4474 ,600855,7.3625 ,600562,6.9443 ,002025,6.0452 ,002179,5.2726 ,600893,4.9290 ,601989,4.6443 
004350.OF,汇丰晋信价值先锋,吴培文,600585,3.2943 ,000333,3.1794 ,600030,3.1195 ,002032,2.9210 ,600519,2.7369 ,603899,2.7062 ,601318,2.6654 ,002353,2.5892 ,601288,2.5867 ,600201,2.4574 
164205.OF,天弘文化新兴产业,田俊维,000651,10.3862 ,600690,9.7131 ,000333,9.6322 ,002035,9.0593 ,603816,8.9988 ,002508,8.9004 ,688358,6.3518 ,688363,5.3403 ,300753,4.2972 ,002918,3.9616 
