证券代码,证券简称,"任职期限最长的现任基金经理
005983.OF,上投摩根核心精选,李博,002236,10.5576 ,603008,5.7114 ,600036,5.5112 ,002035,5.4535 ,000591,4.7876 ,601222,4.5642 ,003816,4.4314 ,603579,4.3137 ,600466,4.2504 ,600567,3.8479 
007524.OF,汇添富内需增长C,赵鹏飞,600519,14.0283 ,600036,9.7779 ,0700,8.9863 ,002044,8.4057 ,300144,7.9354 ,002142,7.6649 ,600276,7.5560 ,000333,4.5814 ,600872,4.5235 ,000858,3.2187 
007523.OF,汇添富内需增长A,赵鹏飞,600519,14.0283 ,600036,9.7779 ,0700,8.9863 ,002044,8.4057 ,300144,7.9354 ,002142,7.6649 ,600276,7.5560 ,000333,4.5814 ,600872,4.5235 ,000858,3.2187 
001781.OF,建信现代服务业,陶灿,600519,7.0686 ,601688,6.8364 ,000002,6.6016 ,002123,6.4315 ,002624,6.1188 ,601888,4.9641 ,300750,4.8741 ,603707,4.3489 ,000961,4.2151 ,002044,4.0986 
004925.OF,长信低碳环保行业量化,左金保,603806,4.0337 ,601012,3.9875 ,300014,3.8544 ,002129,3.7932 ,600388,3.4042 ,300232,3.3456 ,603568,3.2870 ,600346,3.1437 ,601058,3.1220 ,002080,3.1173 
000793.OF,工银瑞信高端制造行业,黄安乐,300136,5.2464 ,600031,4.8865 ,300759,4.1496 ,002138,4.0168 ,603659,3.9484 ,002812,3.6589 ,002624,3.4681 ,002555,3.3820 ,300413,3.2650 ,300450,3.1698 
001651.OF,工银瑞信新蓝筹,王筱苓,600036,8.0378 ,601318,6.8467 ,600519,6.7260 ,002142,6.5513 ,000895,5.1221 ,600600,5.0249 ,000333,4.9763 ,000651,4.9112 ,000858,4.3235 ,600486,3.8307 
519975.OF,长信量化中小盘,左金保,600466,4.0177 ,002607,3.0422 ,601677,2.8562 ,002182,2.5911 ,002706,2.3913 ,300129,2.3762 ,002111,2.2420 ,002318,2.2029 ,300012,2.0156 ,300428,2.0027 
000991.OF,工银瑞信战略转型主题,杜洋,601222,10.7289 ,002343,5.5053 ,300569,5.1153 ,002202,3.2923 ,002531,2.8247 ,603601,2.7186 ,002624,2.6583 ,000625,2.5872 ,300463,2.4596 ,002791,2.4164 
001637.OF,嘉实腾讯自选股大数据,刘斌,002025,1.7313 ,000623,1.6837 ,300253,1.4753 ,002204,1.4443 ,600030,1.4439 ,600466,1.4178 ,002130,1.3869 ,300498,1.3551 ,600720,1.3225 ,000031,1.0064 
003054.OF,嘉实文体娱乐C,王凯,002475,9.4364 ,600050,8.3806 ,002439,7.4540 ,002230,7.3016 ,002292,5.5513 ,300383,4.9855 ,002739,4.8936 ,002008,4.7920 ,300770,4.4966 ,300133,4.4752 
003053.OF,嘉实文体娱乐A,王凯,002475,9.4364 ,600050,8.3806 ,002439,7.4540 ,002230,7.3016 ,002292,5.5513 ,300383,4.9855 ,002739,4.8936 ,002008,4.7920 ,300770,4.4966 ,300133,4.4752 
001319.OF,农银汇理信息传媒,韩林,002475,7.1981 ,000977,5.1759 ,600570,4.3436 ,002241,4.2744 ,002624,2.9477 ,002555,2.8189 ,300782,2.7830 ,002396,2.7544 ,000063,2.7501 ,002850,2.7032 
001043.OF,工银瑞信美丽城镇主题,王君正,000069,11.0079 ,002142,8.6094 ,600519,5.4393 ,002244,4.6285 ,000002,4.2918 ,600036,4.0606 ,300760,3.7084 ,600383,3.6809 ,600276,3.6587 ,600048,3.4586 
160322.OF,华夏港股通精选,李湘杰,2382,7.1331 ,6169,6.0588 ,6098,5.6134 ,2269,5.0535 ,2018,4.8861 ,0291,4.3861 ,2359,4.0140 ,0743,3.8418 ,2020,3.7889 ,0285,3.3631 
450009.OF,国富中小盘,赵晓东,601966,7.4353 ,002044,7.2816 ,600298,6.8961 ,002304,6.5986 ,600036,5.9378 ,601166,5.1351 ,002142,5.0099 ,600201,4.7307 ,600690,4.4208 ,601799,3.6150 
001195.OF,工银瑞信农业产业,杨柯,002714,11.2041 ,300498,11.1591 ,000876,7.5977 ,002311,5.6734 ,002458,5.5474 ,002568,4.1397 ,000333,3.8247 ,600598,3.3256 ,002299,2.9724 ,300119,2.5617 
006803.OF,嘉实互通精选,陈叶雁南,600519,8.9975 ,600036,6.8188 ,2313,6.6514 ,2318,5.9386 ,1093,5.4251 ,000651,5.1659 ,002475,4.7292 ,0700,4.5696 ,300760,4.4963 ,601799,4.2827 
340006.OF,兴全全球视野,王品,300271,10.1508 ,600048,7.9555 ,300496,5.7522 ,002352,4.6915 ,300760,3.7474 ,300144,3.6956 ,601238,3.4656 ,300413,3.3419 ,601688,3.2646 ,601899,3.2626 
001956.OF,国联安科技动力,潘明,300661,6.5056 ,603160,6.4236 ,603501,6.4205 ,002371,6.3947 ,603986,6.3873 ,300782,6.3847 ,603444,5.9100 ,688012,3.6104 ,600845,3.5774 ,002916,3.5625 
004273.OF,中融量化小盘C,陈薪羽,002367,4.4716 ,300569,4.1626 ,300043,4.1155 ,002381,4.1093 ,600510,4.0801 ,002111,4.0655 ,300190,4.0450 ,002020,4.0252 ,300129,3.9833 ,000042,3.9607 
004272.OF,中融量化小盘A,陈薪羽,002367,4.4716 ,300569,4.1626 ,300043,4.1155 ,002381,4.1093 ,600510,4.0801 ,002111,4.0655 ,300190,4.0450 ,002020,4.0252 ,300129,3.9833 ,000042,3.9607 
005328.OF,前海开源价值策略,肖立强,600030,7.1149 ,000100,6.7688 ,002456,6.3444 ,002384,5.8092 ,601138,5.5332 ,300115,5.0796 ,000671,4.9645 ,000513,4.8113 ,600837,4.7490 ,000725,4.6159 
162208.OF,泰达宏利首选企业,张勋,002157,6.9050 ,000661,6.2126 ,000858,5.4274 ,002384,5.3800 ,600340,5.2906 ,000568,4.6589 ,002415,4.6561 ,300073,3.4874 ,300760,3.4710 ,601688,3.3389 
006265.OF,红土创新新科技,朱然,000977,5.2645 ,002185,4.7386 ,300476,4.2681 ,002396,4.1581 ,002876,4.1059 ,002236,4.1026 ,002384,4.0873 ,002938,3.9563 ,002222,3.7921 ,002008,3.7763 
002980.OF,华夏创新前沿,林晶,300750,6.6427 ,002475,4.1316 ,300059,3.7520 ,002410,3.6368 ,300782,3.0249 ,600867,2.9874 ,300015,2.9704 ,688368,2.8632 ,300760,2.8018 ,002384,2.4820 
007853.OF,华商计算机行业量化,邓默,600570,7.4017 ,000977,6.6752 ,002230,5.5106 ,002410,4.5401 ,300253,4.3324 ,300033,4.3176 ,600588,4.3072 ,002439,3.9352 ,000066,3.7894 ,600536,3.2494 
000866.OF,华宝高端制造,贺喆,000002,4.9126 ,000100,4.2149 ,000725,4.1089 ,002415,4.0498 ,000063,3.7546 ,600900,3.6940 ,600201,2.9967 ,600031,2.4669 ,600377,2.3648 ,601808,2.2793 
003312.OF,大摩睿成中小盘弹性,陈健夫,603444,1.4178 ,002174,1.3838 ,601966,1.3549 ,002439,1.3293 ,300347,1.3078 ,600426,1.2798 ,000513,1.2684 ,002250,1.2596 ,600536,1.2531 ,000999,1.2399 
003834.OF,华夏能源革新,郑泽鸿,603799,8.5181 ,300750,7.5355 ,002460,7.2440 ,002466,6.0055 ,002850,5.8432 ,603489,5.6336 ,603993,5.2028 ,601689,5.1751 ,300450,5.0044 ,002050,4.4491 
001070.OF,建信信息产业,邵卓,002624,8.2353 ,002123,6.5426 ,300628,5.4084 ,002475,4.6972 ,300014,4.4936 ,600060,4.2276 ,601138,4.0553 ,002127,3.9219 ,300251,3.8723 ,000063,3.6875 
000884.OF,民生加银优选,高松,000333,7.8203 ,002714,7.3111 ,000661,7.2151 ,002475,5.8381 ,000596,5.7100 ,000858,5.3530 ,603369,5.2095 ,002157,4.5596 ,300498,4.2447 ,000651,3.9603 
001054.OF,工银瑞信新金融,鄢耀,002142,7.1948 ,601166,6.5475 ,000002,5.5514 ,002475,5.2478 ,600519,5.1025 ,000333,5.0249 ,000069,4.1440 ,601688,4.0005 ,600031,3.3583 ,300630,2.9312 
001692.OF,南方国策动力,罗安安,600036,8.1193 ,600276,7.3054 ,300451,5.9558 ,002475,5.4119 ,601128,5.1024 ,300760,4.9769 ,002439,4.9491 ,000661,4.7535 ,300559,4.6987 ,600519,4.4885 
001396.OF,建信互联网+产业升级,何珅华,000858,7.9249 ,002624,7.3535 ,600519,6.9582 ,002475,5.7461 ,000002,4.8127 ,000961,4.3611 ,603429,4.3328 ,600136,4.2671 ,002123,4.2015 ,600703,4.1170 
004640.OF,华夏节能环保,吕佳玮,300750,8.7170 ,300207,8.0590 ,603799,7.0976 ,002475,5.2583 ,002415,5.1955 ,002460,4.8792 ,603489,4.2240 ,002050,4.2110 ,600031,4.1248 ,600885,4.0519 
004997.OF,广发高端制造,孙迪,300750,7.7719 ,000651,7.0880 ,002179,5.8768 ,002475,5.5151 ,300450,5.4796 ,002460,5.0870 ,300073,4.9659 ,601689,4.6671 ,002812,4.6489 ,603986,4.5341 
001188.OF,鹏华改革红利,袁航,601166,9.6596 ,601601,9.1569 ,601006,6.0901 ,002508,5.5373 ,601818,5.0186 ,603587,4.9465 ,000651,4.6815 ,300232,4.4263 ,000961,4.1959 ,000338,4.0209 
006195.OF,国金量化多因子,杨雨龙,601658,11.1023 ,601916,3.9187 ,601077,3.2534 ,002540,1.2168 ,600961,1.1531 ,002379,1.1346 ,300150,1.0648 ,300330,1.0350 ,300736,1.0231 ,002380,1.0209 
000594.OF,大摩进取优选,缪东航,601966,7.1758 ,002353,6.6883 ,300699,6.5990 ,002597,6.5883 ,002648,6.4924 ,601636,5.9390 ,300136,4.4878 ,002206,4.1836 ,601128,4.1584 ,601166,4.0548 
000309.OF,大摩品质生活精选,何晓春,002695,9.7680 ,002376,9.6441 ,002627,8.7618 ,002609,8.5593 ,600383,8.0510 ,002594,7.2110 ,601211,6.6319 ,002212,6.4019 ,600048,4.9362 ,000651,4.5287 
000326.OF,南方中小盘成长,吴剑毅,600068,6.0744 ,600176,5.9221 ,601838,4.9799 ,002614,4.5299 ,601577,4.1514 ,600511,3.9534 ,002597,3.6426 ,000028,3.4675 ,000887,3.4154 ,002327,2.9745 
000592.OF,建信改革红利,陶灿,000002,6.7477 ,002123,6.1086 ,002812,5.0148 ,002624,4.8565 ,000625,4.8554 ,600519,4.6195 ,300750,3.8976 ,000961,3.8771 ,002174,3.8164 ,000651,3.5086 
005763.OF,中欧电子信息产业C,刘晨,300590,8.4941 ,002555,5.4229 ,300271,5.2829 ,002624,5.2686 ,601138,5.1333 ,300036,5.1085 ,002236,4.9772 ,300638,4.7876 ,600271,4.3118 ,002008,4.2910 
004616.OF,中欧电子信息产业A,刘晨,300590,8.4941 ,002555,5.4229 ,300271,5.2829 ,002624,5.2686 ,601138,5.1333 ,300036,5.1085 ,002236,4.9772 ,300638,4.7876 ,600271,4.3118 ,002008,4.2910 
000577.OF,安信价值精选,陈一峰,002508,10.0380 ,600048,9.6195 ,000651,9.0227 ,002624,8.8460 ,000513,7.2082 ,600690,5.6448 ,600036,5.4027 ,300750,5.0821 ,603589,4.2111 ,002035,3.9666 
000828.OF,泰达宏利转型机遇,王鹏,300014,9.1933 ,300750,5.8295 ,002475,5.3482 ,002624,4.2883 ,002174,4.2266 ,000661,3.7763 ,002271,3.7720 ,600885,3.2014 ,002714,3.0556 ,002157,3.0190 
001645.OF,国泰大健康,徐治彪,002831,9.5655 ,603883,9.5123 ,300326,7.9290 ,002683,7.5952 ,603308,7.4431 ,002563,7.2387 ,002675,6.7019 ,600885,6.1859 ,300450,5.8196 ,002050,5.6805 
001672.OF,国寿安保智慧生活,张琦,603899,6.4211 ,002138,5.3265 ,300207,5.0294 ,002705,4.6787 ,600309,4.2373 ,300408,4.1268 ,600885,4.0847 ,601231,4.0243 ,002353,3.9412 ,300136,3.8563 
007130.OF,中庚小盘价值,丘栋荣,603368,9.2600 ,300166,6.8482 ,603678,6.8149 ,002737,6.6052 ,002541,5.6947 ,603599,5.2807 ,300233,5.1513 ,600483,4.9531 ,300349,3.2948 ,002139,2.8939 
001605.OF,国富沪港深成长精选,徐成,0981,4.0532 ,1888,3.0792 ,300450,3.0191 ,2883,2.8426 ,601799,2.5745 ,000977,2.5112 ,601012,2.4897 ,600201,2.4890 ,0813,2.3497 ,1776,2.2603 
001878.OF,嘉实沪港深精选,张金涛,2382,8.2370 ,002475,7.9563 ,000651,7.9436 ,2899,6.6380 ,600276,4.7690 ,0966,4.6337 ,000858,4.3489 ,002353,3.7864 ,0817,3.5807 ,600519,3.3523 
320022.OF,诺安研究精选,王创练,600536,8.8952 ,002353,5.8821 ,000568,5.4040 ,002918,5.1381 ,002311,4.3075 ,603708,3.6866 ,603816,3.2720 ,002304,3.2667 ,601899,2.8295 ,300418,2.4830 
006671.OF,广发消费升级,李耀柱,000860,11.7664 ,300760,11.1833 ,000661,10.9717 ,3690,10.0400 ,000651,6.7564 ,600690,6.7083 ,000596,6.6280 ,000333,6.1498 ,002032,5.6276 ,6169,5.4991 
001764.OF,广发沪港深新机遇,余昊,3808,11.4090 ,2238,8.5135 ,1787,7.2605 ,6098,6.3006 ,2328,5.3415 ,603737,5.2851 ,0981,4.8935 ,2869,3.8843 ,3690,3.8440 ,2338,3.7026 
005210.OF,东吴双三角C,彭敢,002405,9.1142 ,603043,6.6191 ,002675,5.4719 ,300001,5.3491 ,603983,4.7576 ,300078,4.5879 ,300454,4.4358 ,000977,4.2599 ,601128,3.8679 ,300618,3.7928 
005209.OF,东吴双三角A,彭敢,002405,9.1142 ,603043,6.6191 ,002675,5.4719 ,300001,5.3491 ,603983,4.7576 ,300078,4.5879 ,300454,4.4358 ,000977,4.2599 ,601128,3.8679 ,300618,3.7928 
006003.OF,工银瑞信医药健康C,谭冬寒,000661,10.6450 ,300760,10.1365 ,600276,9.7542 ,300003,8.0459 ,300529,6.1532 ,603127,5.3682 ,300463,5.2880 ,300015,4.8172 ,300630,4.6760 ,300347,3.9101 
006002.OF,工银瑞信医药健康A,谭冬寒,000661,10.6450 ,300760,10.1365 ,600276,9.7542 ,300003,8.0459 ,300529,6.1532 ,603127,5.3682 ,300463,5.2880 ,300015,4.8172 ,300630,4.6760 ,300347,3.9101 
007005.OF,中金新医药C,兰兰,000661,9.3638 ,600276,8.7647 ,300630,7.6854 ,300003,6.2165 ,300725,5.3395 ,603707,5.3201 ,300347,4.7922 ,300601,4.7399 ,600763,4.4688 ,603882,4.3507 
006981.OF,中金新医药A,兰兰,000661,9.3638 ,600276,8.7647 ,300630,7.6854 ,300003,6.2165 ,300725,5.3395 ,603707,5.3201 ,300347,4.7922 ,300601,4.7399 ,600763,4.4688 ,603882,4.3507 
001104.OF,华安新丝路主题,谢昌旭,600519,7.7443 ,000858,6.5776 ,600276,6.0890 ,300015,4.8407 ,601318,4.5718 ,002475,4.4139 ,000333,4.3218 ,600036,4.2904 ,600763,4.1017 ,000002,2.7308 
000746.OF,招商行业精选,贾成东,002475,9.7216 ,000661,8.5630 ,300601,7.5882 ,300015,7.3607 ,603501,6.4138 ,600763,6.2666 ,002624,5.9263 ,002600,5.5632 ,600745,5.4114 ,300012,4.8732 
000913.OF,农银汇理医疗保健主题,赵伟,600276,8.9225 ,300558,8.6594 ,603658,8.3982 ,300015,8.2776 ,300347,6.4232 ,300759,5.8870 ,603259,5.6113 ,688029,5.0794 ,600763,4.8826 ,300725,4.6950 
002168.OF,嘉实智能汽车,姚志鹏,300750,8.6899 ,300274,6.0518 ,300450,5.4347 ,300037,4.6739 ,300618,4.6694 ,300224,4.5037 ,600438,4.4002 ,601799,4.2219 ,300036,3.8435 ,603659,3.8126 
003865.OF,创金合信量化多因子C,董梁,300699,0.9536 ,300326,0.9443 ,002123,0.9101 ,300118,0.8806 ,300377,0.8244 ,601163,0.8214 ,002251,0.8191 ,002318,0.7961 ,300487,0.7877 ,300559,0.7652 
002210.OF,创金合信量化多因子A,董梁,300699,0.9536 ,300326,0.9443 ,002123,0.9101 ,300118,0.8806 ,300377,0.8244 ,601163,0.8214 ,002251,0.8191 ,002318,0.7961 ,300487,0.7877 ,300559,0.7652 
005885.OF,金鹰信息产业C,樊勇,002850,10.1918 ,300037,7.5803 ,002050,7.4239 ,300124,7.2720 ,002460,6.6270 ,600885,6.5366 ,603659,6.4695 ,603799,5.6094 ,300750,5.4576 ,000063,4.9743 
003853.OF,金鹰信息产业A,樊勇,002850,10.1918 ,300037,7.5803 ,002050,7.4239 ,300124,7.2720 ,002460,6.6270 ,600885,6.5366 ,603659,6.4695 ,603799,5.6094 ,300750,5.4576 ,000063,4.9743 
001223.OF,鹏华文化传媒娱乐,贺宁,002027,10.5156 ,300413,6.3434 ,601928,6.1252 ,300144,5.9405 ,300059,5.4081 ,300383,5.0061 ,600138,4.4957 ,300770,4.1755 ,002624,4.1072 ,002555,3.5962 
000471.OF,富国城镇发展,蒲世林,002311,7.2397 ,600887,5.9687 ,603899,5.7873 ,300144,5.3195 ,002142,4.9540 ,600690,4.9084 ,000651,4.8062 ,600529,4.3087 ,603882,4.2728 ,600258,3.4643 
001521.OF,国寿安保成长优选,张琦,300136,8.6273 ,002353,7.0286 ,002138,6.7845 ,300207,6.6508 ,300661,5.6466 ,603899,5.4068 ,600703,4.9593 ,600031,4.7285 ,002705,4.3067 ,002035,3.7218 
540010.OF,汇丰晋信科技先锋,陈平,002475,10.3773 ,002624,8.4317 ,600570,8.2234 ,300207,7.5783 ,300059,7.5080 ,002384,7.4164 ,002439,6.3330 ,000977,5.5101 ,002138,4.8700 ,600584,4.7987 
519673.OF,银河康乐,余科苗,600763,7.0034 ,300662,5.8403 ,601318,5.0322 ,300253,4.7632 ,600519,4.4582 ,300015,3.5408 ,002791,3.2306 ,002410,2.2410 ,002475,2.2352 ,002311,2.1198 
001166.OF,建信环保产业,姜锋,002050,6.5846 ,600900,6.4007 ,601877,6.3547 ,300285,5.3988 ,600886,4.3380 ,002202,4.2400 ,300750,4.0583 ,600674,4.0429 ,600323,4.0296 ,000968,3.9999 
001178.OF,前海开源再融资主题精选,邱杰,000651,8.5577 ,002812,6.3235 ,600383,5.9253 ,300315,5.8036 ,600048,5.7530 ,000625,5.0660 ,600104,4.5703 ,603444,4.1658 ,300144,3.5810 ,002648,3.4713 
001167.OF,金鹰科技创新,乔春,002050,4.8435 ,601689,4.7966 ,002624,4.7446 ,300315,4.6425 ,600801,4.5456 ,000786,4.5140 ,002353,4.4504 ,000338,4.4381 ,603659,4.3760 ,002812,4.2341 
000586.OF,景顺长城中小板创业板,李孟海,002891,9.1486 ,300523,9.1370 ,002850,5.9777 ,300316,5.8482 ,002449,5.8340 ,300450,5.6416 ,300073,5.3409 ,300699,5.1951 ,300747,4.4059 ,300673,4.3368 
006693.OF,金信消费升级C,杨仁眉,600519,10.6185 ,300015,10.5753 ,600763,10.4619 ,300347,10.4069 ,002607,10.3881 ,000333,10.3325 ,002044,10.0591 ,600276,7.1349 ,000651,6.6148 ,300001,5.5535 
006692.OF,金信消费升级A,杨仁眉,600519,10.6185 ,300015,10.5753 ,600763,10.4619 ,300347,10.4069 ,002607,10.3881 ,000333,10.3325 ,002044,10.0591 ,600276,7.1349 ,000651,6.6148 ,300001,5.5535 
006229.OF,中欧医疗创新C,葛兰,300015,10.8852 ,000661,10.1436 ,600276,8.6776 ,300357,7.0876 ,002821,6.5198 ,300630,6.5193 ,300347,6.5080 ,603259,6.0151 ,603520,4.8658 ,600763,4.7034 
006228.OF,中欧医疗创新A,葛兰,300015,10.8852 ,000661,10.1436 ,600276,8.6776 ,300357,7.0876 ,002821,6.5198 ,300630,6.5193 ,300347,6.5080 ,603259,6.0151 ,603520,4.8658 ,600763,4.7034 
519935.OF,长信创新驱动,沈佳,002475,6.4343 ,300188,5.4105 ,002044,5.4085 ,300383,4.7213 ,002624,4.3494 ,603160,4.2894 ,000725,4.2478 ,300078,4.1408 ,002920,4.1128 ,002212,4.0385 
001726.OF,汇添富新兴消费,刘伟林,000661,9.5025 ,603259,9.1167 ,002624,7.8082 ,300413,7.5143 ,000568,7.5102 ,600276,6.7207 ,000858,6.6645 ,600519,6.4936 ,000651,5.7192 ,000333,5.5799 
519606.OF,国泰金鑫,申坤,600570,5.2300 ,002332,4.5102 ,603883,4.3423 ,300413,4.1732 ,002050,3.3725 ,002832,3.2909 ,300010,3.2075 ,002301,3.1476 ,300133,3.1448 ,300725,3.0498 
160133.OF,南方天元新产业,蒋秋洁,000858,6.5231 ,600519,6.0493 ,601888,5.5162 ,300413,5.2777 ,000661,4.6558 ,002714,4.4271 ,002027,4.3416 ,000651,3.4470 ,002415,3.4343 ,300750,3.0499 
005240.OF,银华文体娱乐C,李宜璇,002027,6.9756 ,002555,6.9558 ,300059,6.1828 ,300413,4.6664 ,300251,3.5906 ,600637,3.4093 ,300226,2.9356 ,601928,2.8982 ,603444,2.7420 ,600977,2.4977 
005239.OF,银华文体娱乐A,李宜璇,002027,6.9756 ,002555,6.9558 ,300059,6.1828 ,300413,4.6664 ,300251,3.5906 ,600637,3.4093 ,300226,2.9356 ,601928,2.8982 ,603444,2.7420 ,600977,2.4977 
519193.OF,万家消费成长,高源,600837,6.2799 ,601211,6.0487 ,600030,6.0194 ,300413,5.7252 ,601688,5.3653 ,300207,4.8188 ,002241,4.7896 ,300059,4.7855 ,603986,4.6051 ,601628,4.4410 
006503.OF,财通集成电路产业C,金梓才,002384,8.8731 ,603160,8.7765 ,002241,8.5315 ,300433,8.4829 ,600183,8.1679 ,300502,7.7655 ,002938,6.4521 ,300570,6.3945 ,300394,5.8686 ,002273,5.5846 
006502.OF,财通集成电路产业A,金梓才,002384,8.8731 ,603160,8.7765 ,002241,8.5315 ,300433,8.4829 ,600183,8.1679 ,300502,7.7655 ,002938,6.4521 ,300570,6.3945 ,300394,5.8686 ,002273,5.5846 
003069.OF,光大创业板量化优选A,翟云飞,300498,4.8109 ,300015,3.9619 ,300059,3.4365 ,300433,2.5865 ,300014,2.5503 ,300251,2.3709 ,300357,1.7731 ,300750,1.7011 ,300019,1.6743 ,300130,1.6725 
001626.OF,国泰央企改革,饶玉涵,601128,9.4234 ,600570,7.4535 ,002050,6.8268 ,300450,6.7613 ,601021,6.0667 ,601398,5.8252 ,000425,5.6834 ,600519,4.5913 ,300788,3.8642 ,000338,3.8635 
002229.OF,华夏经济转型,张帆,002705,11.1923 ,000063,5.1537 ,300226,4.7295 ,300450,4.2498 ,300782,3.4062 ,002419,3.1860 ,002185,3.1350 ,002371,2.9757 ,600536,2.9516 ,002475,2.7152 
005963.OF,宝盈人工智能C,张仲维,300113,7.1167 ,600745,6.5796 ,300416,6.4680 ,300450,6.3602 ,002475,6.3028 ,300782,6.2014 ,603501,5.9239 ,603986,5.9001 ,0700,5.5399 ,688111,5.4968 
005962.OF,宝盈人工智能A,张仲维,300113,7.1167 ,600745,6.5796 ,300416,6.4680 ,300450,6.3602 ,002475,6.3028 ,300782,6.2014 ,603501,5.9239 ,603986,5.9001 ,0700,5.5399 ,688111,5.4968 
000996.OF,中银新动力,吴印,002475,7.5371 ,600519,7.4357 ,601688,7.2938 ,300454,7.0863 ,600763,6.9039 ,603160,6.7605 ,603259,6.6153 ,300595,6.5940 ,002241,6.4384 ,002027,6.1823 
003492.OF,前海开源外向企业,石峰,002027,5.2670 ,000783,4.9704 ,601933,4.6825 ,300482,4.3753 ,000703,4.2613 ,000671,4.2517 ,601336,4.2154 ,600201,4.1955 ,600115,4.1173 ,002648,3.8383 
003231.OF,创金合信医疗保健行业C,皮劲松,600276,9.4135 ,600529,9.3458 ,000661,8.8783 ,300482,8.7053 ,002901,8.5139 ,603658,8.4197 ,300760,7.8688 ,002821,7.7600 ,300601,5.4675 ,002675,3.6268 
003230.OF,创金合信医疗保健行业A,皮劲松,600276,9.4135 ,600529,9.3458 ,000661,8.8783 ,300482,8.7053 ,002901,8.5139 ,603658,8.4197 ,300760,7.8688 ,002821,7.7600 ,300601,5.4675 ,002675,3.6268 
