证券代码,证券简称,"任职期限最长的现任基金经理
001171.OF,工银瑞信养老产业,赵蓓,600276,11.1971 ,300003,11.0613 ,000661,10.7522 ,300482,7.5271 ,300760,7.1402 ,002821,6.1188 ,603456,6.0799 ,300463,5.8815 ,002410,4.9401 ,603127,4.4536 
000985.OF,嘉实逆向策略,曲盛伟,000034,9.2414 ,600438,9.1572 ,300274,8.7767 ,300546,7.8610 ,300659,6.7978 ,002180,6.4078 ,300302,6.3628 ,300012,6.2363 ,603679,6.0756 ,601012,6.0743 
399011.OF,中海医疗保健,易小金,002044,10.2878 ,603883,10.0989 ,600763,10.0699 ,300572,8.5105 ,002773,8.0219 ,688029,6.5110 ,603259,6.3122 ,002007,5.5797 ,000661,4.3391 ,300326,4.3328 
000960.OF,招商医药健康产业,李佳存,300347,10.0439 ,300529,9.6528 ,603233,8.9674 ,300595,7.7073 ,603658,6.6941 ,603939,5.9017 ,000661,5.8569 ,600436,4.8586 ,300253,4.7105 ,002821,4.3012 
004041.OF,金鹰医疗健康产业C,韩广哲,000661,9.2325 ,600276,8.5882 ,603259,8.5840 ,300595,6.9972 ,603707,6.9544 ,300601,6.4335 ,300529,6.3347 ,600763,5.9865 ,300760,5.9065 ,300685,5.8921 
004040.OF,金鹰医疗健康产业A,韩广哲,000661,9.2325 ,600276,8.5882 ,603259,8.5840 ,300595,6.9972 ,603707,6.9544 ,300601,6.4335 ,300529,6.3347 ,600763,5.9865 ,300760,5.9065 ,300685,5.8921 
002289.OF,华商改革创新,李双全,002777,10.2190 ,603377,9.3654 ,000631,7.6951 ,300596,7.5908 ,601688,7.4445 ,000725,7.3533 ,002475,6.3059 ,300451,5.3271 ,600570,5.0358 ,600048,4.8918 
000729.OF,建信中小盘,许杰,002078,6.5611 ,600183,4.9984 ,002127,4.4862 ,300596,4.3428 ,600466,4.1232 ,002174,4.0514 ,603063,3.9847 ,002244,3.9714 ,002013,3.9604 ,601966,3.9551 
007832.OF,博道伍佰智航C,杨梦,000623,1.4132 ,600390,1.0531 ,002111,1.0421 ,300660,1.0370 ,300543,1.0282 ,603663,0.9950 ,002360,0.9914 ,300693,0.9720 ,300719,0.8999 ,603937,0.8851 
007831.OF,博道伍佰智航A,杨梦,000623,1.4132 ,600390,1.0531 ,002111,1.0421 ,300660,1.0370 ,300543,1.0282 ,603663,0.9950 ,002360,0.9914 ,300693,0.9720 ,300719,0.8999 ,603937,0.8851 
160919.OF,大成产业升级,李林益,603517,8.8828 ,002299,6.0551 ,002353,5.7196 ,300699,5.4345 ,603308,5.4176 ,002180,5.2113 ,600477,4.9651 ,002179,4.5479 ,002405,4.4049 ,300487,4.3596 
004683.OF,建信高端医疗,潘龙玲,600276,9.3663 ,000538,7.3841 ,688029,6.6885 ,300760,6.6653 ,603259,6.5710 ,300347,5.9157 ,002821,5.5916 ,603882,5.2489 ,603456,4.2648 ,000915,4.1819 
005259.OF,建信龙头企业,姚锦,000001,7.4304 ,2020,7.0102 ,000002,6.8777 ,300760,6.6344 ,000661,6.3140 ,002624,6.1070 ,000961,5.2441 ,300750,5.0023 ,000858,4.3150 ,002050,4.2629 
001717.OF,工银瑞信前沿医疗,赵蓓,600276,10.4230 ,000661,10.1084 ,300003,9.8489 ,300760,7.2214 ,300482,6.5767 ,300529,5.5611 ,300630,5.3404 ,603456,4.8422 ,002821,4.6267 ,300347,4.5124 
001915.OF,宝盈医疗健康沪港深,曹潜,000661,10.1644 ,603658,9.7090 ,603883,9.6078 ,300760,9.0692 ,300529,7.7673 ,603259,6.7429 ,300347,6.7082 ,600276,6.3461 ,300142,6.3353 ,300482,4.6262 
000803.OF,工银瑞信研究精选,宋炳珅,600030,8.4630 ,603986,5.6751 ,300251,5.5408 ,300782,5.1788 ,002624,4.2827 ,300059,4.2176 ,002241,3.9602 ,600584,3.2313 ,601688,3.1856 ,300413,3.0826 
005961.OF,博时量化价值C,黄瑞庆,601318,3.4699 ,601997,2.9944 ,600782,1.9554 ,600015,1.8033 ,600565,1.6478 ,600746,1.6435 ,600282,1.6041 ,600466,1.5981 ,600340,1.5963 ,601328,1.5624 
005960.OF,博时量化价值A,黄瑞庆,601318,3.4699 ,601997,2.9944 ,600782,1.9554 ,600015,1.8033 ,600565,1.6478 ,600746,1.6435 ,600282,1.6041 ,600466,1.5981 ,600340,1.5963 ,601328,1.5624 
001047.OF,光大国企改革主题,董伟炜,601318,6.1090 ,600519,5.9693 ,000651,5.5152 ,600030,4.2554 ,000001,3.4586 ,002803,3.4518 ,300073,3.4439 ,000725,3.4401 ,600031,3.2979 ,300088,3.2820 
001678.OF,英大国企改革主题,张媛,601318,4.7480 ,002624,4.4959 ,600887,4.2974 ,600030,3.9045 ,600547,3.3226 ,600754,3.2788 ,002601,3.2776 ,600309,3.1207 ,603993,3.1087 ,300383,3.0974 
163110.OF,申万菱信量化小盘,俞诚,600466,1.1064 ,600801,1.0520 ,600720,1.0349 ,600030,1.0154 ,002745,1.0004 ,601233,0.9973 ,000878,0.9912 ,300418,0.9739 ,002850,0.9732 ,600036,0.9725 
005663.OF,嘉实金融精选C,李欣,600036,9.8805 ,601318,9.3079 ,601166,9.1256 ,600030,8.1300 ,2328,7.7290 ,000002,6.9108 ,601009,6.1187 ,000961,6.0560 ,601688,4.0080 ,601336,3.3292 
005662.OF,嘉实金融精选A,李欣,600036,9.8805 ,601318,9.3079 ,601166,9.1256 ,600030,8.1300 ,2328,7.7290 ,000002,6.9108 ,601009,6.1187 ,000961,6.0560 ,601688,4.0080 ,601336,3.3292 
004730.OF,建信量化事件驱动,薛玲,600519,6.5802 ,601318,4.8207 ,000651,3.2575 ,600030,3.1778 ,600036,2.6980 ,600276,2.6711 ,600837,2.0178 ,000661,1.6768 ,603658,1.6083 ,603883,1.5169 
000513.OF,富国高端制造行业,毕天宇,300285,7.3873 ,002271,5.8931 ,002142,5.5195 ,600031,5.4887 ,600519,5.3843 ,603501,4.8700 ,601318,3.7905 ,002555,3.7715 ,002001,3.2967 ,600309,3.1141 
006926.OF,长城量化精选,雷俊,600170,5.4028 ,688111,4.3367 ,000776,3.5797 ,600033,3.5529 ,601169,3.0356 ,600016,3.0215 ,002128,2.9991 ,600578,2.9844 ,000069,2.9777 ,600015,2.9689 
001725.OF,汇添富中国高端制造,赵鹏飞,601088,10.8908 ,002044,10.8773 ,002142,10.4009 ,600036,10.2465 ,600519,9.1288 ,600872,5.8706 ,002127,5.3320 ,000002,3.6421 ,300144,3.6390 ,000596,3.4162 
001541.OF,汇添富民营新动力,谭志强,002624,7.2882 ,002044,6.8253 ,002555,6.6367 ,600036,6.4829 ,300285,5.6312 ,000538,4.2536 ,601166,3.7572 ,000961,3.6399 ,002466,3.4808 ,300144,3.3517 
006603.OF,嘉实互融精选,蒋一茜,600519,11.0555 ,601318,9.6988 ,0700,9.5359 ,600036,7.1967 ,0817,6.6641 ,000651,6.0282 ,1186,5.8531 ,600030,5.0388 ,000002,4.9288 ,300628,4.7800 
005629.OF,汇安趋势动力C,邹唯,000002,9.0795 ,600585,7.9332 ,600030,7.5494 ,600036,6.9947 ,601318,6.8171 ,600837,4.8416 ,002142,4.6157 ,601872,4.2706 ,002624,3.7166 ,600048,3.5852 
005628.OF,汇安趋势动力A,邹唯,000002,9.0795 ,600585,7.9332 ,600030,7.5494 ,600036,6.9947 ,601318,6.8171 ,600837,4.8416 ,002142,4.6157 ,601872,4.2706 ,002624,3.7166 ,600048,3.5852 
000761.OF,国富健康优质生活,王晓宁,601318,6.4863 ,600030,4.2163 ,600519,4.1683 ,600036,3.1314 ,000651,2.2858 ,601688,2.1760 ,600276,1.8920 ,000333,1.8895 ,000858,1.8082 ,600201,1.7827 
007471.OF,博道叁佰智航C,杨梦,601318,8.4172 ,600519,5.9580 ,000651,3.8668 ,600036,3.8460 ,000333,3.1385 ,000002,2.9753 ,600276,2.6156 ,000858,2.5531 ,600585,2.4370 ,601818,1.9256 
007470.OF,博道叁佰智航A,杨梦,601318,8.4172 ,600519,5.9580 ,000651,3.8668 ,600036,3.8460 ,000333,3.1385 ,000002,2.9753 ,600276,2.6156 ,000858,2.5531 ,600585,2.4370 ,601818,1.9256 
206012.OF,鹏华价值精选,张航,002475,8.2101 ,000651,5.7965 ,000002,5.0854 ,600048,4.7918 ,603986,4.2052 ,002396,4.1448 ,603737,4.1017 ,601799,3.9041 ,000338,3.7919 ,300315,3.4231 
004352.OF,北信瑞丰研究精选,庞琳琳,000651,6.7324 ,002460,4.3512 ,300033,4.1019 ,600048,3.3735 ,600036,3.3037 ,688111,3.2799 ,000725,2.5260 ,002191,2.2074 ,000001,2.2025 ,601318,2.1995 
004606.OF,上投摩根优选多因子,施虓文,601398,3.2310 ,600585,2.9844 ,002353,2.9734 ,600048,2.6034 ,603338,2.5481 ,600837,2.5396 ,601009,2.4678 ,001979,2.4675 ,601166,2.4412 ,601318,2.3824 
005928.OF,创金合信新能源汽车C,曹春林,300750,8.6208 ,000049,8.2293 ,300037,7.3609 ,600104,6.9014 ,002466,5.4145 ,601633,4.1487 ,601238,4.0592 ,600884,3.9094 ,600885,2.9906 ,300450,2.8609 
005927.OF,创金合信新能源汽车A,曹春林,300750,8.6208 ,000049,8.2293 ,300037,7.3609 ,600104,6.9014 ,002466,5.4145 ,601633,4.1487 ,601238,4.0592 ,600884,3.9094 ,600885,2.9906 ,300450,2.8609 
519714.OF,交银消费新驱动,韩威俊,603369,9.1435 ,600519,9.0411 ,300146,8.9749 ,600132,8.9101 ,000858,8.7994 ,002461,7.5245 ,000651,6.0577 ,600600,6.0261 ,600887,6.0202 ,600529,5.1026 
004450.OF,嘉实前沿科技,张丹华,300369,10.4461 ,0268,10.2878 ,2269,8.7508 ,600276,7.8649 ,300628,7.6075 ,002410,5.9367 ,002415,5.9283 ,600763,5.5138 ,300037,4.9889 ,000661,4.0177 
162107.OF,金鹰量化精选,乔春,601318,8.5174 ,600036,7.5303 ,600519,7.4466 ,600276,3.7646 ,000333,2.5667 ,600030,2.3888 ,601601,2.1834 ,000651,1.9264 ,601888,1.6797 ,000858,1.5350 
001766.OF,上投摩根医疗健康,方钰涵,300760,9.8775 ,603259,9.6958 ,603707,7.4138 ,600276,7.3403 ,002821,6.8330 ,000661,4.9462 ,300015,4.5471 ,600161,4.4141 ,688016,4.1340 ,300482,3.8209 
673090.OF,西部利得个股精选,刘荟,601318,7.1335 ,600519,6.2343 ,600036,4.2438 ,600276,2.9529 ,600030,2.2166 ,600887,1.9778 ,601601,1.9194 ,601328,1.7812 ,600016,1.7808 ,600000,1.6530 
001733.OF,泰达宏利量化增强,刘洋,601318,6.4511 ,600519,4.9445 ,600036,3.7541 ,600276,2.9802 ,600030,2.5076 ,600887,2.4288 ,601166,2.3628 ,600837,1.9707 ,600048,1.8528 ,600016,1.8444 
005530.OF,汇添富价值多因子量化策略,吴振翔,601318,7.7774 ,600519,5.0827 ,000333,3.1124 ,600276,2.9979 ,000858,2.9699 ,601658,2.9613 ,600036,2.4439 ,601398,1.9613 ,600585,1.8301 ,600030,1.7936 
001193.OF,中金消费升级,于玥,600519,10.6552 ,000651,8.8535 ,000333,8.1762 ,600276,6.0288 ,000858,5.8935 ,600887,3.2116 ,601888,2.8446 ,603288,2.6080 ,002415,2.5750 ,600600,2.3801 
005502.OF,华泰紫金智能量化,毛甜,000651,3.5985 ,601998,3.2587 ,600570,2.9564 ,600276,2.9092 ,601628,2.7551 ,600837,2.4593 ,600036,2.4141 ,601318,2.3109 ,603160,2.1225 ,601336,2.1135 
000411.OF,景顺长城优质成长,徐喻军,601318,7.6363 ,600036,5.3686 ,601186,3.3386 ,600276,3.1456 ,601997,3.1266 ,601998,3.1151 ,601009,2.6151 ,000651,2.2827 ,600346,2.2133 ,601818,2.1955 
000978.OF,景顺长城量化精选,黎海威,600745,2.5181 ,600466,2.4200 ,002463,2.4000 ,600282,2.3952 ,600643,2.3926 ,601699,2.3724 ,600373,2.3705 ,002414,2.3375 ,603444,2.3361 ,002440,2.3145 
001105.OF,信达澳银转型创新,王咏辉,600030,5.2546 ,002271,4.9547 ,002475,4.7785 ,600309,4.5269 ,601318,4.5005 ,601012,3.7369 ,600332,3.0186 ,000002,2.8656 ,600036,2.6150 ,600519,2.3945 
001409.OF,工银瑞信互联网加,张继圣,300450,8.0014 ,600570,7.3371 ,002916,6.4310 ,600309,6.2498 ,002938,4.2052 ,601012,4.0397 ,600276,3.9403 ,600183,3.4866 ,002463,3.2485 ,600872,3.0433 
005506.OF,前海开源中药研究精选C,范洁,000999,3.2513 ,002603,3.1510 ,300039,3.1142 ,600332,3.1013 ,002317,3.0385 ,000423,3.0345 ,002773,3.0282 ,600993,3.0181 ,002817,3.0112 ,000538,3.0111 
005505.OF,前海开源中药研究精选A,范洁,000999,3.2513 ,002603,3.1510 ,300039,3.1142 ,600332,3.1013 ,002317,3.0385 ,000423,3.0345 ,002773,3.0282 ,600993,3.0181 ,002817,3.0112 ,000538,3.0111 
001208.OF,诺安低碳经济,蔡宇滨,600176,11.0266 ,601877,10.1248 ,002027,5.5406 ,600377,5.0670 ,601872,4.6995 ,300146,4.6468 ,002601,4.1834 ,600867,4.0132 ,601668,3.8042 ,000975,3.4400 
320020.OF,诺安策略精选,蔡宇滨,600176,11.2011 ,601318,8.3646 ,601877,7.4234 ,600377,6.6560 ,300146,6.1166 ,601668,4.9317 ,002027,4.6465 ,000975,3.6465 ,600867,3.6371 ,002601,3.6062 
005516.OF,银华中小市值C,马君,603721,1.6689 ,300588,1.6023 ,300530,1.5118 ,600378,1.3012 ,300083,1.2560 ,603028,1.0580 ,300539,0.9451 ,600546,0.8986 ,002400,0.8712 ,300211,0.8701 
005515.OF,银华中小市值A,马君,603721,1.6689 ,300588,1.6023 ,300530,1.5118 ,600378,1.3012 ,300083,1.2560 ,603028,1.0580 ,300539,0.9451 ,600546,0.8986 ,002400,0.8712 ,300211,0.8701 
001583.OF,安信新常态沪港深精选,袁玮,601668,6.5267 ,002230,6.3338 ,601318,6.0900 ,600383,5.4778 ,000002,4.7696 ,600048,4.5328 ,603259,4.3337 ,600606,4.0604 ,600036,3.8045 ,600196,3.7662 
006819.OF,安信盈利驱动C,袁玮,601668,6.4428 ,601318,6.2799 ,002230,6.2172 ,600383,5.4825 ,000002,4.8069 ,603259,4.4688 ,600606,4.3357 ,600048,4.3003 ,600196,4.0260 ,601166,3.7952 
006818.OF,安信盈利驱动A,袁玮,601668,6.4428 ,601318,6.2799 ,002230,6.2172 ,600383,5.4825 ,000002,4.8069 ,603259,4.4688 ,600606,4.3357 ,600048,4.3003 ,600196,4.0260 ,601166,3.7952 
000696.OF,汇添富环保行业,赵鹏程,300012,5.7341 ,000333,5.6314 ,002466,5.5371 ,600406,5.2310 ,600309,4.3600 ,601233,4.2840 ,603568,3.8040 ,002050,3.6687 ,002484,3.5960 ,000786,3.5918 
001158.OF,工银瑞信新材料新能源行业,张剑峰,600309,7.9546 ,000708,6.0886 ,002475,5.3845 ,600406,4.4867 ,601012,4.3954 ,002271,3.8811 ,600346,3.3209 ,600438,3.0990 ,300450,2.8909 ,002353,2.8351 
000409.OF,鹏华环保产业,孟昊,002616,6.4020 ,002475,6.1383 ,300750,6.0932 ,600406,4.2745 ,300014,3.5448 ,600323,3.2651 ,600438,3.1176 ,000651,3.0398 ,603659,2.7290 ,300124,2.6994 
005969.OF,创金合信工业周期精选C,李游,600031,9.8297 ,300750,8.5537 ,601100,7.1991 ,600438,7.0932 ,601012,6.2758 ,002812,5.9041 ,000338,5.0919 ,603659,4.3028 ,603338,3.9875 ,000786,3.4723 
005968.OF,创金合信工业周期精选A,李游,600031,9.8297 ,300750,8.5537 ,601100,7.1991 ,600438,7.0932 ,601012,6.2758 ,002812,5.9041 ,000338,5.0919 ,603659,4.3028 ,603338,3.9875 ,000786,3.4723 
001616.OF,嘉实环保低碳,姚志鹏,300750,9.6356 ,300274,8.0903 ,601012,7.7569 ,600438,6.7276 ,603659,5.7837 ,300450,5.7311 ,300037,5.1371 ,300724,4.9707 ,601799,4.5109 ,002230,3.9881 
005038.OF,银华新能源新材料量化C,李宜璇,601012,7.4865 ,002202,6.7243 ,600406,6.1730 ,600438,6.0147 ,002594,3.9441 ,300207,3.4964 ,300124,3.4493 ,603659,3.3822 ,601877,2.8808 ,300316,2.8418 
005037.OF,银华新能源新材料量化A,李宜璇,601012,7.4865 ,002202,6.7243 ,600406,6.1730 ,600438,6.0147 ,002594,3.9441 ,300207,3.4964 ,300124,3.4493 ,603659,3.3822 ,601877,2.8808 ,300316,2.8418 
003625.OF,创金合信资源主题C,李游,601899,9.3104 ,002466,8.6999 ,601088,7.1689 ,600438,6.9426 ,002460,6.7617 ,600031,6.5772 ,603799,6.4175 ,603993,5.5791 ,601225,5.3144 ,600362,5.2877 
003624.OF,创金合信资源主题A,李游,601899,9.3104 ,002466,8.6999 ,601088,7.1689 ,600438,6.9426 ,002460,6.7617 ,600031,6.5772 ,603799,6.4175 ,603993,5.5791 ,601225,5.3144 ,600362,5.2877 
001476.OF,中银智能制造,王伟,300014,8.3797 ,300450,6.6899 ,002241,5.7002 ,600438,5.3266 ,601012,4.9499 ,000338,4.5296 ,600031,4.0143 ,002415,3.9510 ,300124,3.7580 ,600406,3.2415 
006138.OF,国联安价值优选,邹新进,600511,7.7957 ,000028,7.7745 ,600048,6.9330 ,600486,6.8980 ,000671,6.5199 ,600597,5.9074 ,002706,5.1101 ,002643,4.9820 ,600031,4.8705 ,601688,4.8348 
007138.OF,鹏扬元合量化大盘优选C,JIANG SHAOKUN,600519,5.1917 ,601688,4.7749 ,600016,4.6588 ,600498,4.6580 ,601818,4.2900 ,600900,3.9947 ,600036,3.7618 ,601601,3.5822 ,601939,3.5174 ,600999,3.3177 
007137.OF,鹏扬元合量化大盘优选A,JIANG SHAOKUN,600519,5.1917 ,601688,4.7749 ,600016,4.6588 ,600498,4.6580 ,601818,4.2900 ,600900,3.9947 ,600036,3.7618 ,601601,3.5822 ,601939,3.5174 ,600999,3.3177 
005268.OF,鹏华优势企业,陈璇淼,000661,10.1078 ,002475,9.6818 ,000858,7.5408 ,600519,5.6889 ,000333,5.1761 ,603899,5.1605 ,300760,4.2668 ,000651,4.0505 ,600276,3.9249 ,000063,3.9132 
005636.OF,博时量化多策略C,黄瑞庆,601318,5.1654 ,601658,3.4712 ,000001,3.0343 ,600519,2.7085 ,600000,2.4233 ,601328,2.3189 ,000858,2.1520 ,601628,1.9320 ,300498,1.8539 ,000333,1.8404 
005635.OF,博时量化多策略A,黄瑞庆,601318,5.1654 ,601658,3.4712 ,000001,3.0343 ,600519,2.7085 ,600000,2.4233 ,601328,2.3189 ,000858,2.1520 ,601628,1.9320 ,300498,1.8539 ,000333,1.8404 
002861.OF,工银瑞信智能制造,农冰立,002415,9.8737 ,600183,7.1583 ,000651,5.0594 ,600519,5.0209 ,300782,4.7733 ,000568,4.6803 ,603960,4.2593 ,002690,4.0469 ,300760,4.0206 ,002008,4.0064 
000854.OF,鹏华养老产业,王宗合,000596,10.4322 ,000858,9.7276 ,000568,9.6026 ,600519,9.5307 ,600809,9.4087 ,601318,7.0414 ,600779,6.7486 ,601899,5.8310 ,300015,5.2063 ,002120,4.7566 
001416.OF,嘉实事件驱动,张自力,300012,5.0096 ,002475,4.9001 ,601318,4.6041 ,600519,4.3132 ,600763,3.6688 ,000661,3.0358 ,002714,2.8937 ,600276,2.8876 ,000858,2.5012 ,002157,2.1096 
005106.OF,银华农业产业,王翔,002714,8.8426 ,000858,8.1026 ,002311,8.0653 ,600519,8.0454 ,002299,6.8193 ,603517,5.8947 ,300498,4.7321 ,000876,4.3147 ,603369,4.3061 ,002557,3.5647 
005612.OF,嘉实核心优势,胡宇飞,0700,10.6899 ,000651,10.6666 ,600036,8.6707 ,600519,7.1604 ,601318,6.1419 ,002475,5.6605 ,600276,5.1312 ,2238,3.5514 ,000333,3.4152 ,1109,3.2865 
001703.OF,银华沪港深增长,周大鹏,2601,6.3905 ,603517,6.0745 ,000961,4.6747 ,600519,4.3913 ,601799,4.3895 ,000858,4.1532 ,3808,3.8145 ,2269,3.5203 ,1658,3.4215 ,2238,3.3250 
005802.OF,汇添富智能制造,赵鹏飞,002044,11.9828 ,1088,11.7360 ,600036,11.7268 ,600519,11.3337 ,600872,9.2417 ,002142,6.4724 ,0586,6.0025 ,000333,4.4645 ,0939,3.9605 ,3888,3.6464 
001542.OF,国泰互联网+,彭凌志,600570,7.9755 ,002475,7.7911 ,600588,5.2666 ,600519,4.6514 ,601318,4.1024 ,300450,4.0079 ,000001,3.7905 ,300750,3.6826 ,002371,3.4569 ,600036,3.3235 
001044.OF,嘉实新消费,谭丽,000651,10.6745 ,603345,10.3277 ,603096,9.6169 ,600519,9.2600 ,000895,8.5571 ,002925,7.5068 ,601633,7.4649 ,603866,6.7097 ,601021,5.2318 ,600298,4.7474 
000082.OF,嘉实研究阿尔法,张露,601318,5.7105 ,600036,4.3099 ,600030,3.7796 ,600519,3.5858 ,000651,3.2152 ,601398,2.2063 ,000858,2.0278 ,002475,1.9652 ,601166,1.9404 ,600837,1.4941 
001473.OF,建信大安全,王东杰,000961,9.5347 ,600048,8.4807 ,000858,7.1125 ,600519,6.8221 ,000651,5.9443 ,002146,5.8429 ,300750,5.0314 ,601799,5.0092 ,000661,4.9096 ,601318,4.2001 
005236.OF,银华食品饮料C,马君,000568,7.7892 ,002304,7.6079 ,000858,7.5700 ,600519,7.4719 ,600887,7.2479 ,603288,5.3265 ,600809,4.8587 ,600872,4.5748 ,603589,4.1754 ,603369,3.8204 
005235.OF,银华食品饮料A,马君,000568,7.7892 ,002304,7.6079 ,000858,7.5700 ,600519,7.4719 ,600887,7.2479 ,603288,5.3265 ,600809,4.8587 ,600872,4.5748 ,603589,4.1754 ,603369,3.8204 
001482.OF,上投摩根新兴服务,郭晨,603259,6.5839 ,002475,4.7708 ,603501,4.0899 ,600519,3.9302 ,002241,3.8399 ,300750,3.8071 ,000661,3.7906 ,002555,3.6182 ,300136,3.5885 ,688111,3.4941 
005304.OF,嘉实医药健康C,颜媛,000661,8.8003 ,600276,8.7471 ,600763,7.8292 ,600529,6.7080 ,603883,5.6300 ,603707,5.0591 ,1066,4.7802 ,300363,4.6751 ,603456,4.4333 ,300601,4.1748 
005303.OF,嘉实医药健康A,颜媛,000661,8.8003 ,600276,8.7471 ,600763,7.8292 ,600529,6.7080 ,603883,5.6300 ,603707,5.0591 ,1066,4.7802 ,300363,4.6751 ,603456,4.4333 ,300601,4.1748 
003745.OF,广发多元新兴,刘格菘,300601,10.7316 ,300661,8.4456 ,600703,8.1667 ,600536,7.7328 ,000063,7.6482 ,603986,6.7419 ,300529,5.8658 ,000725,5.5156 ,000066,5.2530 ,002156,5.2207 
001663.OF,中银互联网+,欧阳力君,603659,5.8233 ,000725,5.1526 ,300750,5.0586 ,600570,4.9983 ,601138,3.9415 ,300770,3.7042 ,601658,3.7029 ,688023,3.6809 ,002456,3.6284 ,002832,3.4739 
000971.OF,诺安新经济,杨琨,603993,6.9334 ,600276,5.9158 ,601888,5.4907 ,600570,5.2787 ,600519,4.9292 ,002304,4.7861 ,000938,4.4643 ,002497,3.6880 ,600030,3.5451 ,601808,3.5378 
001410.OF,信达澳银新能源产业,冯明远,002456,4.2804 ,002185,2.9076 ,002156,2.8518 ,600584,2.8489 ,600131,2.0917 ,000063,2.0030 ,603005,1.9974 ,600498,1.9881 ,603186,1.9866 ,300083,1.9609 
002556.OF,博时丝路主题C,沙炜,000708,9.0749 ,600030,6.2969 ,000333,5.2251 ,600585,5.1814 ,601138,4.5319 ,688368,4.1578 ,601899,4.1399 ,000961,3.6124 ,600426,3.5558 ,000823,3.4388 
001236.OF,博时丝路主题A,沙炜,000708,9.0749 ,600030,6.2969 ,000333,5.2251 ,600585,5.1814 ,601138,4.5319 ,688368,4.1578 ,601899,4.1399 ,000961,3.6124 ,600426,3.5558 ,000823,3.4388 
